checkpoint (in update steps),metric_name,metric
12800,acc,0.8265
10,acc,0.5535
100000,acc,0.966
380000,acc,0.976
120000,acc,0.974
20,acc,0.548
0,acc,0.5549999999999999
160000,acc,0.9755
100,acc,0.42400000000000004
140000,acc,0.974
280000,acc,0.978
660000,acc,0.9744999999999999
720000,acc,0.973
20000,acc,0.9139999999999999
980000,acc,0.9764999999999999
640000,acc,0.9764999999999999
700000,acc,0.9775
580000,acc,0.9744999999999999
3200,acc,0.597
740000,acc,0.976
600000,acc,0.968
480000,acc,0.9735
40000,acc,0.952
880000,acc,0.97
60000,acc,0.9584999999999999
800,acc,0.5325
760000,acc,0.9775
620000,acc,0.977
200,acc,0.616
840000,acc,0.977
900000,acc,0.975
520000,acc,0.9704999999999999
460000,acc,0.961
40,acc,0.521
780000,acc,0.9684999999999999
500000,acc,0.9724999999999999
440000,acc,0.9684999999999999
80000,acc,0.9470000000000001
860000,acc,0.973
920000,acc,0.973
960000,acc,0.976
820000,acc,0.9795
680000,acc,0.9784999999999999
400000,acc,0.9815
540000,acc,0.9715
1600,acc,0.38549999999999995
420000,acc,0.972
560000,acc,0.9675
940000,acc,0.9755
800000,acc,0.9755
180000,acc,0.979
240000,acc,0.9804999999999999
300000,acc,0.9784999999999999
6400,acc,0.772
1000000,acc,0.9764999999999999
260000,acc,0.9764999999999999
320000,acc,0.9715
360000,acc,0.977
220000,acc,0.977
400,acc,0.5955
340000,acc,0.977
200000,acc,0.9624999999999999
