checkpoint (in update steps),metric_name,metric
906655,acc,0.9695
927740,acc,0.9704999999999999
210850,acc,0.968
358445,acc,0.9624999999999999
168680,acc,0.9675
590380,acc,0.975
442785,acc,0.9515
21085,acc,0.9185
548210,acc,0.966
126510,acc,0.9655
400615,acc,0.966
948825,acc,0.9724999999999999
885570,acc,0.972
569295,acc,0.969
379530,acc,0.954
147595,acc,0.966
421700,acc,0.9604999999999999
0,acc,0.5549999999999999
189765,acc,0.963
337360,acc,0.9684999999999999
611465,acc,0.9475
231935,acc,0.9724999999999999
695805,acc,0.9684999999999999
716890,acc,0.9744999999999999
737975,acc,0.9715
674720,acc,0.9724999999999999
295190,acc,0.967
274105,acc,0.978
527125,acc,0.9715
105425,acc,0.964
463870,acc,0.961
42170,acc,0.9595
990995,acc,0.9695
843400,acc,0.9724999999999999
484955,acc,0.9604999999999999
63255,acc,0.9675
506040,acc,0.9735
84340,acc,0.967
253020,acc,0.9624999999999999
316275,acc,0.9525
864485,acc,0.9704999999999999
969910,acc,0.9704999999999999
1012080,acc,0.97
780145,acc,0.9695
632550,acc,0.9684999999999999
822315,acc,0.969
801230,acc,0.9644999999999999
653635,acc,0.9684999999999999
759060,acc,0.972
10,acc,0.5525
20,acc,0.5455
100,acc,0.3685
800,acc,0.4185
200,acc,0.523
40,acc,0.514
400,acc,0.588
