checkpoint (in update steps),metric_name,metric
66694,acc,0.962
133388,acc,0.984
200082,acc,0.9704999999999999
266776,acc,0.9675
12800,acc,0.888
10,acc,0.4015
100000,acc,0.9715
380000,acc,0.971
120000,acc,0.972
20,acc,0.402
0,acc,0.401
160000,acc,0.9675
100,acc,0.434
140000,acc,0.958
280000,acc,0.9595
660000,acc,0.969
720000,acc,0.9675
20000,acc,0.9055
980000,acc,0.9724999999999999
640000,acc,0.9775
700000,acc,0.9675
3200,acc,0.609
740000,acc,0.97
600000,acc,0.9755
480000,acc,0.975
40000,acc,0.959
880000,acc,0.9724999999999999
60000,acc,0.9624999999999999
800,acc,0.5975
760000,acc,0.9715
620000,acc,0.9744999999999999
200,acc,0.507
840000,acc,0.968
900000,acc,0.9744999999999999
520000,acc,0.9744999999999999
460000,acc,0.9704999999999999
40,acc,0.4125
780000,acc,0.966
500000,acc,0.973
440000,acc,0.9675
80000,acc,0.973
860000,acc,0.9724999999999999
920000,acc,0.976
960000,acc,0.9755
820000,acc,0.972
680000,acc,0.97
400000,acc,0.9695
540000,acc,0.967
1600,acc,0.509
420000,acc,0.9655
560000,acc,0.9704999999999999
940000,acc,0.973
800000,acc,0.9675
180000,acc,0.9684999999999999
240000,acc,0.974
300000,acc,0.959
6400,acc,0.7889999999999999
1000000,acc,0.9735
260000,acc,0.975
320000,acc,0.966
360000,acc,0.9675
220000,acc,0.969
400,acc,0.6000000000000001
340000,acc,0.969
200000,acc,0.9744999999999999
