checkpoint (in update steps),metric_name,metric
996396,acc,0.9359999999999999
1019568,acc,0.938
231720,acc,0.9025000000000001
393924,acc,0.909
185376,acc,0.7965
648816,acc,0.905
486612,acc,0.8514999999999999
23172,acc,0.907
602472,acc,0.8835
139032,acc,0.853
440268,acc,0.8895
973224,acc,0.9319999999999999
625644,acc,0.9375
417096,acc,0.8440000000000001
162204,acc,0.8514999999999999
463440,acc,0.923
208548,acc,0.7695000000000001
370752,acc,0.8965000000000001
671988,acc,0.9404999999999999
254892,acc,0.872
764676,acc,0.91
787848,acc,0.914
811020,acc,0.9239999999999999
741504,acc,0.9315
324408,acc,0.9335
301236,acc,0.914
579300,acc,0.9145000000000001
115860,acc,0.8645
509784,acc,0.874
46344,acc,0.9185000000000001
926880,acc,0.9165000000000001
532956,acc,0.906
69516,acc,0.8265
556128,acc,0.885
92688,acc,0.866
278064,acc,0.875
347580,acc,0.909
950052,acc,0.9385
857364,acc,0.929
695160,acc,0.924
903708,acc,0.923
880536,acc,0.921
718332,acc,0.8965000000000001
834192,acc,0.925
10,acc,0.5565
20,acc,0.5645
0,acc,0.5549999999999999
100,acc,0.61
800,acc,0.7085
200,acc,0.648
40,acc,0.5785
400,acc,0.642
