checkpoint (in update steps),metric_name,metric
545904,acc,0.9275
568650,acc,0.937
614142,acc,0.9355
159222,acc,0.937
45492,acc,0.89
341190,acc,0.9339999999999999
318444,acc,0.944
659634,acc,0.9265000000000001
204714,acc,0.938
136476,acc,0.9339999999999999
68238,acc,0.911
818856,acc,0.9339999999999999
864348,acc,0.9385
932586,acc,0.9255
250206,acc,0.9195
386682,acc,0.944
523158,acc,0.9464999999999999
454920,acc,0.9295
705126,acc,0.9395
500412,acc,0.927
432174,acc,0.9335
591396,acc,0.9395
22746,acc,0.7935
181968,acc,0.9385
90984,acc,0.9405
113730,acc,0.9335
636888,acc,0.9395
363936,acc,0.9265000000000001
773364,acc,0.9239999999999999
796110,acc,0.9404999999999999
1000824,acc,0.933
955332,acc,0.933
887094,acc,0.9305
978078,acc,0.9395
841602,acc,0.935
909840,acc,0.9295
750618,acc,0.9415
682380,acc,0.9365
477666,acc,0.9295
227460,acc,0.9455
295698,acc,0.929
727872,acc,0.9345000000000001
409428,acc,0.9255
272952,acc,0.94
10,acc,0.5525
20,acc,0.546
0,acc,0.5549999999999999
100,acc,0.3715
800,acc,0.4115
200,acc,0.5800000000000001
40,acc,0.5115
400,acc,0.6245
