checkpoint (in update steps),metric_name,metric
224370,acc,0.944
381429,acc,0.951
179496,acc,0.9555
628236,acc,0.9470000000000001
471177,acc,0.9515
22437,acc,0.8295
583362,acc,0.9555
134622,acc,0.9475
426303,acc,0.9495
605799,acc,0.951
403866,acc,0.9385
157059,acc,0.944
448740,acc,0.9524999999999999
0,acc,0.5549999999999999
201933,acc,0.949
358992,acc,0.9575
650673,acc,0.964
246807,acc,0.9375
740421,acc,0.9595
762858,acc,0.963
785295,acc,0.9524999999999999
717984,acc,0.9535
314118,acc,0.95
291681,acc,0.9435
560925,acc,0.951
112185,acc,0.95
493614,acc,0.9535
44874,acc,0.9055
897480,acc,0.954
516051,acc,0.9475
67311,acc,0.9265
538488,acc,0.961
89748,acc,0.9470000000000001
269244,acc,0.937
336555,acc,0.9375
919917,acc,0.9555
830169,acc,0.9615
673110,acc,0.953
875043,acc,0.9564999999999999
852606,acc,0.9555
695547,acc,0.947
807732,acc,0.9615
10,acc,0.5525
20,acc,0.5449999999999999
4000,acc,0.6245
5000,acc,0.6679999999999999
100,acc,0.3705
1000,acc,0.372
14000,acc,0.6965
20000,acc,0.8185
10000,acc,0.7035
11000,acc,0.734
15000,acc,0.7555000000000001
800,acc,0.4185
21000,acc,0.8645
200,acc,0.583
12000,acc,0.7585
40,acc,0.5115
16000,acc,0.732
8000,acc,0.804
22000,acc,0.819
17000,acc,0.8005
9000,acc,0.7455
13000,acc,0.708
6000,acc,0.7015
18000,acc,0.7995
2000,acc,0.366
400,acc,0.617
3000,acc,0.587
7000,acc,0.685
19000,acc,0.8485
