checkpoint (in update steps),metric_name,metric
906655,acc,0.8172222222222223
927740,acc,0.8111111111111112
210850,acc,0.8003333333333333
358445,acc,0.8021111111111111
168680,acc,0.7922222222222222
590380,acc,0.8165555555555556
442785,acc,0.803111111111111
21085,acc,0.7292222222222223
548210,acc,0.803
126510,acc,0.7963333333333334
400615,acc,0.807
948825,acc,0.813375
885570,acc,0.8125555555555556
569295,acc,0.8111111111111111
379530,acc,0.8073333333333333
147595,acc,0.7899999999999999
421700,acc,0.8063333333333333
0,acc,0.5665555555555555
189765,acc,0.7831111111111111
337360,acc,0.8015555555555555
611465,acc,0.8115555555555556
231935,acc,0.8045555555555555
695805,acc,0.810111111111111
716890,acc,0.8153333333333335
737975,acc,0.8117777777777778
674720,acc,0.8057777777777777
295190,acc,0.8071111111111112
274105,acc,0.8031111111111111
527125,acc,0.8088888888888889
105425,acc,0.7932222222222223
463870,acc,0.8062222222222223
42170,acc,0.7556666666666666
990995,acc,0.8117777777777777
843400,acc,0.8078888888888889
484955,acc,0.8082222222222222
63255,acc,0.7687777777777778
506040,acc,0.8105555555555556
84340,acc,0.7966666666666666
253020,acc,0.8077777777777777
316275,acc,0.8048888888888889
864485,acc,0.8102222222222222
969910,acc,0.808875
1012080,acc,0.8118888888888889
780145,acc,0.8137777777777777
632550,acc,0.8057777777777777
822315,acc,0.8146666666666667
801230,acc,0.8094444444444444
653635,acc,0.8023333333333333
759060,acc,0.8137777777777777
10,acc,0.566
20,acc,0.565111111111111
100,acc,0.5644444444444444
800,acc,0.5918888888888889
200,acc,0.5708888888888888
40,acc,0.5646666666666667
400,acc,0.575888888888889
