checkpoint (in update steps),metric_name,metric
66694,acc,0.7816666666666667
133388,acc,0.8033333333333333
200082,acc,0.7964444444444444
266776,acc,0.8053333333333333
12800,acc,0.6745555555555556
10,acc,0.5719999999999998
100000,acc,0.7924444444444444
380000,acc,0.8171111111111111
120000,acc,0.7991111111111111
20,acc,0.5713333333333335
0,acc,0.5722222222222222
160000,acc,0.8035555555555556
100,acc,0.5666666666666667
140000,acc,0.7995555555555556
280000,acc,0.8023333333333335
660000,acc,0.8114444444444444
720000,acc,0.8147777777777778
20000,acc,0.7246666666666666
980000,acc,0.8265555555555556
640000,acc,0.8152222222222222
700000,acc,0.8206666666666665
3200,acc,0.5742222222222222
740000,acc,0.8115555555555556
600000,acc,0.8148888888888889
480000,acc,0.8192222222222223
40000,acc,0.7815555555555556
880000,acc,0.8232222222222222
60000,acc,0.7854444444444445
800,acc,0.5800000000000001
760000,acc,0.8114444444444444
620000,acc,0.8145555555555555
200,acc,0.567888888888889
840000,acc,0.8211111111111111
900000,acc,0.8277777777777777
520000,acc,0.8101111111111111
460000,acc,0.8262222222222222
40,acc,0.5690000000000001
780000,acc,0.8207777777777778
500000,acc,0.8178888888888888
440000,acc,0.8184444444444444
80000,acc,0.7934444444444444
860000,acc,0.8194444444444444
920000,acc,0.8235555555555556
960000,acc,0.8260000000000001
820000,acc,0.8204444444444445
680000,acc,0.8160000000000001
400000,acc,0.8111111111111112
540000,acc,0.819
1600,acc,0.5737777777777778
420000,acc,0.8180000000000001
560000,acc,0.8188888888888889
940000,acc,0.8262222222222222
800000,acc,0.8173333333333334
180000,acc,0.8071111111111111
240000,acc,0.8115555555555556
300000,acc,0.8110000000000002
6400,acc,0.572111111111111
1000000,acc,0.825
260000,acc,0.8026666666666666
320000,acc,0.807111111111111
360000,acc,0.810111111111111
220000,acc,0.8066666666666668
400,acc,0.582
340000,acc,0.8028888888888888
200000,acc,0.7986666666666666
