checkpoint (in update steps),metric_name,metric
224370,acc,0.7535555555555555
381429,acc,0.7574444444444445
179496,acc,0.7582222222222222
628236,acc,0.7642222222222222
471177,acc,0.7758888888888889
22437,acc,0.683
583362,acc,0.7693333333333333
134622,acc,0.7422222222222222
426303,acc,0.761888888888889
605799,acc,0.7708888888888888
403866,acc,0.7675555555555555
157059,acc,0.7424444444444445
448740,acc,0.7747777777777778
0,acc,0.5665555555555555
201933,acc,0.7475555555555555
358992,acc,0.7595555555555557
650673,acc,0.7681111111111111
246807,acc,0.747
740421,acc,0.7705555555555555
762858,acc,0.7731111111111111
785295,acc,0.7652222222222221
717984,acc,0.7725555555555554
314118,acc,0.7724444444444445
291681,acc,0.7592222222222221
560925,acc,0.7719999999999999
112185,acc,0.7354444444444445
493614,acc,0.7687777777777778
44874,acc,0.7115555555555555
897480,acc,0.7722222222222223
516051,acc,0.7745555555555556
67311,acc,0.7222222222222223
538488,acc,0.781
89748,acc,0.7344444444444443
269244,acc,0.7507777777777779
336555,acc,0.7631111111111111
919917,acc,0.7697777777777777
830169,acc,0.7763333333333332
673110,acc,0.7661111111111111
875043,acc,0.7693333333333333
852606,acc,0.7716666666666667
695547,acc,0.7624444444444445
807732,acc,0.7676666666666667
10,acc,0.5657777777777778
20,acc,0.5653333333333334
4000,acc,0.5814444444444444
5000,acc,0.5842222222222222
100,acc,0.5638888888888889
1000,acc,0.5834444444444444
14000,acc,0.6633333333333334
20000,acc,0.6874444444444445
10000,acc,0.6144444444444443
11000,acc,0.6379999999999999
15000,acc,0.6708888888888889
800,acc,0.5863333333333334
21000,acc,0.6960000000000001
200,acc,0.5771111111111111
12000,acc,0.6513333333333333
40,acc,0.5646666666666667
16000,acc,0.6664444444444445
8000,acc,0.5881111111111111
22000,acc,0.6967777777777778
17000,acc,0.677
9000,acc,0.599
13000,acc,0.6641111111111111
6000,acc,0.5871111111111111
18000,acc,0.6891111111111112
2000,acc,0.584111111111111
400,acc,0.5752222222222222
3000,acc,0.5832222222222222
7000,acc,0.5886666666666667
19000,acc,0.6948888888888889
