checkpoint (in update steps),metric_name,metric
12800,acc,0.7092857142857143
10,acc,0.47100000000000003
100000,acc,0.7434285714285714
380000,acc,0.7792857142857142
120000,acc,0.7345714285714287
20,acc,0.47200000000000003
0,acc,0.4705714285714286
160000,acc,0.752857142857143
100,acc,0.46557142857142864
140000,acc,0.7441428571428571
280000,acc,0.7618571428571428
660000,acc,0.7857142857142857
720000,acc,0.7837142857142857
20000,acc,0.6964285714285714
980000,acc,0.7775714285714285
640000,acc,0.7977142857142855
700000,acc,0.7814285714285714
580000,acc,0.7814285714285714
3200,acc,0.6198571428571428
740000,acc,0.7844285714285714
600000,acc,0.7862857142857141
480000,acc,0.7755714285714285
40000,acc,0.7368571428571429
880000,acc,0.7754285714285715
60000,acc,0.7392857142857142
800,acc,0.6495714285714286
760000,acc,0.772857142857143
620000,acc,0.781
200,acc,0.3798571428571429
840000,acc,0.7901428571428571
900000,acc,0.7891428571428571
520000,acc,0.7817142857142858
460000,acc,0.7804285714285714
40,acc,0.47214285714285714
780000,acc,0.7892857142857144
500000,acc,0.7831428571428571
440000,acc,0.7681428571428571
80000,acc,0.7525714285714286
860000,acc,0.7798571428571428
920000,acc,0.7832857142857144
960000,acc,0.7745714285714284
820000,acc,0.787142857142857
680000,acc,0.772
400000,acc,0.7734285714285714
540000,acc,0.7927142857142856
1600,acc,0.622
420000,acc,0.7672857142857142
560000,acc,0.7817142857142857
940000,acc,0.7765714285714287
800000,acc,0.7817142857142858
180000,acc,0.7602857142857145
240000,acc,0.7575714285714287
300000,acc,0.7617142857142857
6400,acc,0.6484285714285715
1000000,acc,0.7804285714285715
260000,acc,0.7718571428571428
320000,acc,0.7508571428571429
360000,acc,0.7598571428571427
220000,acc,0.7625714285714286
400,acc,0.4084285714285714
340000,acc,0.7721428571428571
200000,acc,0.7664285714285715
