checkpoint (in update steps),metric_name,metric
996396,acc,0.7944285714285716
1019568,acc,0.7959999999999999
231720,acc,0.7452857142857142
393924,acc,0.7572857142857143
185376,acc,0.7444285714285713
648816,acc,0.7498571428571429
486612,acc,0.7381428571428571
23172,acc,0.7882857142857144
602472,acc,0.7007142857142857
139032,acc,0.7625714285714287
440268,acc,0.7807142857142858
973224,acc,0.7964285714285715
625644,acc,0.7597142857142857
417096,acc,0.7501428571428571
162204,acc,0.7535714285714287
463440,acc,0.7307142857142858
208548,acc,0.7537142857142857
370752,acc,0.7377142857142855
671988,acc,0.767
254892,acc,0.7371428571428572
764676,acc,0.7844285714285714
787848,acc,0.7711428571428571
811020,acc,0.796
741504,acc,0.7624285714285713
324408,acc,0.7594285714285715
301236,acc,0.7454285714285714
579300,acc,0.7575714285714286
115860,acc,0.7462857142857143
509784,acc,0.7531428571428572
46344,acc,0.7728571428571429
926880,acc,0.7867142857142858
532956,acc,0.7605714285714286
69516,acc,0.7961428571428572
556128,acc,0.764142857142857
92688,acc,0.7525714285714286
278064,acc,0.7605714285714287
347580,acc,0.7511428571428571
950052,acc,0.7948571428571428
857364,acc,0.7834285714285715
695160,acc,0.743142857142857
903708,acc,0.7814285714285714
880536,acc,0.7865714285714286
718332,acc,0.7799999999999999
834192,acc,0.7954285714285715
10,acc,0.4701428571428572
20,acc,0.46942857142857136
0,acc,0.4705714285714286
100,acc,0.48042857142857137
800,acc,0.6005714285714286
200,acc,0.444
40,acc,0.46399999999999997
400,acc,0.4735714285714286
