checkpoint (in update steps),metric_name,metric
545904,acc,0.7030000000000001
568650,acc,0.712
614142,acc,0.7014285714285714
159222,acc,0.7228571428571428
45492,acc,0.7078571428571429
341190,acc,0.7245714285714285
318444,acc,0.7054285714285714
659634,acc,0.7137142857142856
204714,acc,0.7084285714285715
136476,acc,0.7315714285714287
68238,acc,0.7152857142857144
818856,acc,0.6995714285714285
864348,acc,0.708
932586,acc,0.7095714285714285
250206,acc,0.6934285714285714
386682,acc,0.712
523158,acc,0.7128571428571429
454920,acc,0.7077142857142856
705126,acc,0.7005714285714284
500412,acc,0.6982857142857144
432174,acc,0.7212857142857142
591396,acc,0.7277142857142856
22746,acc,0.6885714285714286
181968,acc,0.716857142857143
90984,acc,0.7087142857142857
113730,acc,0.7165714285714285
636888,acc,0.7088571428571429
363936,acc,0.715
773364,acc,0.6980000000000001
796110,acc,0.7162857142857143
1000824,acc,0.7039999999999998
955332,acc,0.7084285714285714
887094,acc,0.7105714285714286
978078,acc,0.7045714285714286
841602,acc,0.7131428571428573
909840,acc,0.7001428571428571
750618,acc,0.6992857142857144
682380,acc,0.6984285714285716
477666,acc,0.7085714285714285
227460,acc,0.7011428571428571
295698,acc,0.716
727872,acc,0.7041428571428571
409428,acc,0.727
272952,acc,0.7121428571428571
10,acc,0.47128571428571425
20,acc,0.4702857142857143
0,acc,0.4705714285714286
100,acc,0.4531428571428571
800,acc,0.6497142857142857
200,acc,0.39514285714285713
40,acc,0.4714285714285715
400,acc,0.43857142857142856
