checkpoint (in update steps),metric_name,metric
224370,acc,0.7341428571428572
381429,acc,0.7134285714285714
179496,acc,0.7205714285714286
628236,acc,0.7004285714285714
471177,acc,0.7048571428571428
22437,acc,0.6802857142857143
583362,acc,0.711
134622,acc,0.7075714285714285
426303,acc,0.7108571428571429
605799,acc,0.7005714285714285
403866,acc,0.7062857142857143
157059,acc,0.7235714285714286
448740,acc,0.7305714285714286
0,acc,0.4705714285714286
201933,acc,0.71
358992,acc,0.7258571428571428
650673,acc,0.7217142857142858
246807,acc,0.7560000000000001
740421,acc,0.7048571428571428
762858,acc,0.7021428571428572
785295,acc,0.7017142857142857
717984,acc,0.7097142857142857
314118,acc,0.7231428571428572
291681,acc,0.7558571428571429
560925,acc,0.7138571428571429
112185,acc,0.7157142857142856
493614,acc,0.7054285714285714
44874,acc,0.7198571428571429
897480,acc,0.7122857142857143
516051,acc,0.7070000000000001
67311,acc,0.7197142857142856
538488,acc,0.722857142857143
89748,acc,0.7270000000000001
269244,acc,0.7471428571428572
336555,acc,0.6978571428571428
919917,acc,0.7171428571428572
830169,acc,0.7062857142857143
673110,acc,0.7151428571428572
875043,acc,0.7071428571428572
852606,acc,0.705
695547,acc,0.7195714285714285
807732,acc,0.7075714285714286
10,acc,0.47114285714285714
20,acc,0.4704285714285715
4000,acc,0.6175714285714287
5000,acc,0.6161428571428571
100,acc,0.45299999999999996
1000,acc,0.6391428571428571
14000,acc,0.6394285714285713
20000,acc,0.6938571428571428
10000,acc,0.6147142857142857
11000,acc,0.6302857142857142
15000,acc,0.6477142857142858
800,acc,0.6531428571428572
21000,acc,0.7095714285714285
200,acc,0.3934285714285714
12000,acc,0.627
40,acc,0.4717142857142858
16000,acc,0.6550000000000001
8000,acc,0.5765714285714286
22000,acc,0.6977142857142857
17000,acc,0.6835714285714286
9000,acc,0.5795714285714286
13000,acc,0.6204285714285714
6000,acc,0.6427142857142857
18000,acc,0.6877142857142857
2000,acc,0.6278571428571429
400,acc,0.4372857142857143
3000,acc,0.6342857142857143
7000,acc,0.623
19000,acc,0.6868571428571429
