checkpoint (in update steps),metric_name,metric
12800,acc,0.673
10,acc,0.55
100000,acc,0.7769999999999999
380000,acc,0.7729999999999999
120000,acc,0.7737999999999999
20,acc,0.5509999999999999
0,acc,0.5498
160000,acc,0.76
100,acc,0.5509999999999999
140000,acc,0.7832000000000001
280000,acc,0.7857999999999999
660000,acc,0.7937999999999998
720000,acc,0.7952
20000,acc,0.6739999999999999
980000,acc,0.7938000000000001
640000,acc,0.7814
700000,acc,0.7826000000000001
580000,acc,0.783
3200,acc,0.6118
740000,acc,0.7888
600000,acc,0.7882
480000,acc,0.7698
40000,acc,0.7242000000000001
880000,acc,0.7847999999999999
60000,acc,0.752
800,acc,0.6096
760000,acc,0.7934
620000,acc,0.7776
200,acc,0.5508
840000,acc,0.7946
900000,acc,0.7886000000000001
520000,acc,0.7771999999999999
460000,acc,0.7782
40,acc,0.5504
780000,acc,0.7892
500000,acc,0.7868
440000,acc,0.7636000000000001
80000,acc,0.7548
860000,acc,0.7914
920000,acc,0.791
960000,acc,0.7948000000000001
820000,acc,0.7894
680000,acc,0.7822
400000,acc,0.786
540000,acc,0.7794000000000001
1600,acc,0.6090000000000001
420000,acc,0.7799999999999999
560000,acc,0.7704000000000001
940000,acc,0.7956000000000001
800000,acc,0.8086
180000,acc,0.7859999999999999
240000,acc,0.784
300000,acc,0.7838
6400,acc,0.6106
1000000,acc,0.7929999999999999
260000,acc,0.7696
320000,acc,0.787
360000,acc,0.7849999999999999
220000,acc,0.788
400,acc,0.5795999999999999
340000,acc,0.7837999999999999
200000,acc,0.7802
