checkpoint (in update steps),metric_name,metric
906655,acc,0.7958000000000001
927740,acc,0.7976000000000001
210850,acc,0.7724
358445,acc,0.7788000000000002
168680,acc,0.7762
590380,acc,0.781
442785,acc,0.7878000000000001
21085,acc,0.6374
548210,acc,0.8022
126510,acc,0.7613999999999999
400615,acc,0.7784
948825,acc,0.7557499999999999
885570,acc,0.787
569295,acc,0.7782
379530,acc,0.762
147595,acc,0.7524
421700,acc,0.7884
0,acc,0.5498
189765,acc,0.7698
337360,acc,0.788
611465,acc,0.7847999999999999
231935,acc,0.791
695805,acc,0.7892000000000001
716890,acc,0.7822
737975,acc,0.7866
674720,acc,0.7864
295190,acc,0.7934
274105,acc,0.7742000000000001
527125,acc,0.7802
105425,acc,0.7788
463870,acc,0.7764
42170,acc,0.7086
990995,acc,0.7956
843400,acc,0.7882
484955,acc,0.7758
63255,acc,0.7402
506040,acc,0.7746000000000001
84340,acc,0.7364
253020,acc,0.7718
316275,acc,0.7776000000000001
864485,acc,0.7932
969910,acc,0.7952
1012080,acc,0.7946000000000001
780145,acc,0.7862000000000001
632550,acc,0.7722
822315,acc,0.7919999999999999
801230,acc,0.7822
653635,acc,0.772
759060,acc,0.7906000000000001
10,acc,0.5502
20,acc,0.5509999999999999
100,acc,0.5475999999999999
800,acc,0.6134000000000001
200,acc,0.5538000000000001
40,acc,0.5516
400,acc,0.5722
