checkpoint (in update steps),metric_name,metric
66694,acc,0.7548
133388,acc,0.7836
200082,acc,0.783
266776,acc,0.7842
12800,acc,0.6502
10,acc,0.5065999999999999
100000,acc,0.7634000000000001
380000,acc,0.7784
120000,acc,0.7657999999999999
20,acc,0.507
0,acc,0.507
160000,acc,0.785
100,acc,0.5192
140000,acc,0.7924
280000,acc,0.7954
660000,acc,0.7853999999999999
720000,acc,0.788
20000,acc,0.7023999999999999
980000,acc,0.7958000000000001
640000,acc,0.7899999999999999
700000,acc,0.7928
3200,acc,0.6024
740000,acc,0.7864000000000001
600000,acc,0.7767999999999999
480000,acc,0.7939999999999999
40000,acc,0.7454
880000,acc,0.7922
60000,acc,0.7564
800,acc,0.6022000000000001
760000,acc,0.7892
620000,acc,0.789
200,acc,0.5442000000000001
840000,acc,0.7899999999999999
900000,acc,0.7974000000000001
520000,acc,0.7827999999999999
460000,acc,0.7946
40,acc,0.5068
780000,acc,0.8033999999999999
500000,acc,0.7857999999999999
440000,acc,0.7988000000000002
80000,acc,0.7494
860000,acc,0.7948000000000001
920000,acc,0.7948000000000001
960000,acc,0.7942
820000,acc,0.7946000000000001
680000,acc,0.7922
400000,acc,0.7769999999999999
540000,acc,0.7958
1600,acc,0.602
420000,acc,0.7969999999999999
560000,acc,0.7888
940000,acc,0.792
800000,acc,0.7966
180000,acc,0.7936
240000,acc,0.7798
300000,acc,0.7862
6400,acc,0.6014
1000000,acc,0.797
260000,acc,0.7822
320000,acc,0.7926
360000,acc,0.7936
220000,acc,0.7849999999999999
400,acc,0.5635999999999999
340000,acc,0.7824
200000,acc,0.7802
