checkpoint (in update steps),metric_name,metric
996396,acc,0.7438
1019568,acc,0.7438
231720,acc,0.6982
393924,acc,0.7274
185376,acc,0.689
648816,acc,0.7081999999999999
486612,acc,0.7032
23172,acc,0.6786
602472,acc,0.7242
139032,acc,0.6898000000000001
440268,acc,0.7258
973224,acc,0.7444
625644,acc,0.7398000000000001
417096,acc,0.7098000000000001
162204,acc,0.6712
463440,acc,0.7162
208548,acc,0.6932
370752,acc,0.7118
671988,acc,0.7289999999999999
254892,acc,0.6998
764676,acc,0.7398
787848,acc,0.7418000000000001
811020,acc,0.7252
741504,acc,0.7344
324408,acc,0.6994
301236,acc,0.6990000000000001
579300,acc,0.715
115860,acc,0.6930000000000001
509784,acc,0.6940000000000001
46344,acc,0.6968
926880,acc,0.7304
532956,acc,0.7206
69516,acc,0.6904
556128,acc,0.7243999999999999
92688,acc,0.6761999999999999
278064,acc,0.7026000000000001
347580,acc,0.7
950052,acc,0.7524
857364,acc,0.7440000000000001
695160,acc,0.7486
903708,acc,0.7322
880536,acc,0.7368
718332,acc,0.7352000000000001
834192,acc,0.7294
10,acc,0.55
20,acc,0.5486000000000001
0,acc,0.5498
100,acc,0.554
800,acc,0.5808
200,acc,0.545
40,acc,0.5517999999999998
400,acc,0.5566
