checkpoint (in update steps),metric_name,metric
545904,acc,0.7657999999999999
568650,acc,0.7707999999999999
614142,acc,0.7714
159222,acc,0.743
45492,acc,0.7024
341190,acc,0.7732
318444,acc,0.7612
659634,acc,0.7744
204714,acc,0.7504
136476,acc,0.7268
68238,acc,0.7136
818856,acc,0.7692
864348,acc,0.7737999999999999
932586,acc,0.7661999999999999
250206,acc,0.7666000000000001
386682,acc,0.7666000000000001
523158,acc,0.772
454920,acc,0.7742000000000001
705126,acc,0.765
500412,acc,0.7644
432174,acc,0.7678
591396,acc,0.7688
22746,acc,0.6688
181968,acc,0.7278
90984,acc,0.7236
113730,acc,0.7294
636888,acc,0.7686
363936,acc,0.7572
773364,acc,0.7375999999999999
796110,acc,0.7758
1000824,acc,0.7702
955332,acc,0.7712
887094,acc,0.774
978078,acc,0.7689999999999999
841602,acc,0.7736
909840,acc,0.7698
750618,acc,0.7714000000000001
682380,acc,0.7584
477666,acc,0.7646000000000001
227460,acc,0.7617999999999999
295698,acc,0.7656
727872,acc,0.7704
409428,acc,0.7696
272952,acc,0.7515999999999999
10,acc,0.55
20,acc,0.5508
0,acc,0.5498
100,acc,0.5444
800,acc,0.5868
200,acc,0.5388000000000001
40,acc,0.5522
400,acc,0.5546
