checkpoint (in update steps),metric_name,metric
224370,acc,0.7539999999999999
381429,acc,0.7605999999999999
179496,acc,0.7529999999999999
628236,acc,0.7594
471177,acc,0.7608
22437,acc,0.6851999999999999
583362,acc,0.7737999999999999
134622,acc,0.7356
426303,acc,0.7642
605799,acc,0.7762
403866,acc,0.7699999999999999
157059,acc,0.7394000000000001
448740,acc,0.7646
0,acc,0.5498
201933,acc,0.75
358992,acc,0.7447999999999999
650673,acc,0.7698
246807,acc,0.7522
740421,acc,0.7764
762858,acc,0.7712
785295,acc,0.7694
717984,acc,0.77
314118,acc,0.7468
291681,acc,0.7434
560925,acc,0.7798
112185,acc,0.7142000000000001
493614,acc,0.7558
44874,acc,0.7
897480,acc,0.7738
516051,acc,0.768
67311,acc,0.718
538488,acc,0.7876000000000001
89748,acc,0.7168
269244,acc,0.7712000000000001
336555,acc,0.7555999999999999
919917,acc,0.7777999999999999
830169,acc,0.784
673110,acc,0.7762
875043,acc,0.7774000000000001
852606,acc,0.7794
695547,acc,0.767
807732,acc,0.7722
10,acc,0.5502
20,acc,0.5509999999999999
4000,acc,0.6122
5000,acc,0.6065999999999999
100,acc,0.5444
1000,acc,0.5922
14000,acc,0.6688000000000001
20000,acc,0.6778
10000,acc,0.6037999999999999
11000,acc,0.632
15000,acc,0.6742
800,acc,0.5882
21000,acc,0.6784
200,acc,0.5412
12000,acc,0.659
40,acc,0.5522
16000,acc,0.6906
8000,acc,0.6025999999999999
22000,acc,0.6936
17000,acc,0.6853999999999999
9000,acc,0.6165999999999999
13000,acc,0.667
6000,acc,0.5934
18000,acc,0.706
2000,acc,0.5997999999999999
400,acc,0.5576
3000,acc,0.6113999999999999
7000,acc,0.5967999999999999
19000,acc,0.6906
