checkpoint (in update steps),metric_name,metric
12800,acc,0.888625
10,acc,0.488875
100000,acc,0.945125
380000,acc,0.953375
120000,acc,0.947875
20,acc,0.48950000000000005
0,acc,0.489625
160000,acc,0.945875
100,acc,0.508375
140000,acc,0.94825
280000,acc,0.959625
660000,acc,0.9581249999999999
720000,acc,0.95875
20000,acc,0.9201249999999999
980000,acc,0.963875
640000,acc,0.9528749999999999
700000,acc,0.961125
580000,acc,0.9548749999999999
3200,acc,0.5165
740000,acc,0.958125
600000,acc,0.95625
480000,acc,0.9592499999999999
40000,acc,0.9375
880000,acc,0.9612499999999999
60000,acc,0.9484999999999999
800,acc,0.49937499999999996
760000,acc,0.956
620000,acc,0.9555
200,acc,0.506875
840000,acc,0.960875
900000,acc,0.9635
520000,acc,0.95925
460000,acc,0.95425
40,acc,0.495
780000,acc,0.9615
500000,acc,0.95775
440000,acc,0.9588749999999999
80000,acc,0.9436249999999999
860000,acc,0.96075
920000,acc,0.9630000000000001
960000,acc,0.964125
820000,acc,0.961875
680000,acc,0.9604999999999999
400000,acc,0.955375
540000,acc,0.95675
1600,acc,0.499
420000,acc,0.9575
560000,acc,0.9595
940000,acc,0.963875
800000,acc,0.959
180000,acc,0.95425
240000,acc,0.957125
300000,acc,0.962
6400,acc,0.5355
1000000,acc,0.964125
260000,acc,0.952375
320000,acc,0.9575
360000,acc,0.95875
220000,acc,0.9575
400,acc,0.509
340000,acc,0.955875
200000,acc,0.953875
