checkpoint (in update steps),metric_name,metric
906655,acc,0.955
927740,acc,0.956
210850,acc,0.9422499999999999
358445,acc,0.948125
168680,acc,0.9502499999999999
590380,acc,0.952125
442785,acc,0.951375
21085,acc,0.9127500000000001
548210,acc,0.953875
126510,acc,0.9406249999999999
400615,acc,0.9505
948825,acc,0.956875
885570,acc,0.955625
569295,acc,0.95825
379530,acc,0.9468749999999999
147595,acc,0.9497499999999999
421700,acc,0.9555
0,acc,0.489625
189765,acc,0.94775
337360,acc,0.9492499999999999
611465,acc,0.957875
231935,acc,0.952125
695805,acc,0.953125
716890,acc,0.958375
737975,acc,0.956625
674720,acc,0.953625
295190,acc,0.946375
274105,acc,0.9472499999999999
527125,acc,0.9534999999999999
105425,acc,0.9436249999999999
463870,acc,0.954625
42170,acc,0.93225
990995,acc,0.956625
843400,acc,0.957
484955,acc,0.9532499999999999
63255,acc,0.939
506040,acc,0.953125
84340,acc,0.9452499999999999
253020,acc,0.941875
316275,acc,0.937875
864485,acc,0.95825
969910,acc,0.950857142857143
1012080,acc,0.95675
780145,acc,0.95975
632550,acc,0.95825
822315,acc,0.9570000000000001
801230,acc,0.957125
653635,acc,0.956875
759060,acc,0.958
10,acc,0.488625
20,acc,0.490125
100,acc,0.514875
800,acc,0.498875
200,acc,0.51725
40,acc,0.48975
400,acc,0.509625
