checkpoint (in update steps),metric_name,metric
66694,acc,0.9436249999999999
133388,acc,0.950625
200082,acc,0.951
266776,acc,0.9537500000000001
12800,acc,0.8699999999999999
10,acc,0.5090000000000001
100000,acc,0.95075
380000,acc,0.9515
120000,acc,0.94975
20,acc,0.509125
0,acc,0.50875
160000,acc,0.951
100,acc,0.502
140000,acc,0.950875
280000,acc,0.952625
660000,acc,0.952125
720000,acc,0.953375
20000,acc,0.9168750000000001
980000,acc,0.961125
640000,acc,0.9528749999999999
700000,acc,0.95225
3200,acc,0.50375
740000,acc,0.953125
600000,acc,0.954875
480000,acc,0.9564999999999999
40000,acc,0.9375
880000,acc,0.9590000000000001
60000,acc,0.943875
800,acc,0.51075
760000,acc,0.954875
620000,acc,0.952875
200,acc,0.500125
840000,acc,0.9590000000000001
900000,acc,0.956375
520000,acc,0.94825
460000,acc,0.952
40,acc,0.5098750000000001
780000,acc,0.9590000000000001
500000,acc,0.950375
440000,acc,0.953
80000,acc,0.95025
860000,acc,0.95875
920000,acc,0.959125
960000,acc,0.961875
820000,acc,0.9595
680000,acc,0.95725
400000,acc,0.951875
540000,acc,0.955875
1600,acc,0.492
420000,acc,0.9522499999999999
560000,acc,0.95625
940000,acc,0.95825
800000,acc,0.957375
180000,acc,0.9566250000000001
240000,acc,0.9448749999999999
300000,acc,0.9553750000000001
6400,acc,0.534
1000000,acc,0.961125
260000,acc,0.952
320000,acc,0.9528749999999999
360000,acc,0.9502499999999999
220000,acc,0.950125
400,acc,0.511
340000,acc,0.9510000000000001
200000,acc,0.955125
