checkpoint (in update steps),metric_name,metric
996396,acc,0.891375
1019568,acc,0.890125
231720,acc,0.8396250000000001
393924,acc,0.83525
185376,acc,0.853
648816,acc,0.8362499999999999
486612,acc,0.7891250000000001
23172,acc,0.886
602472,acc,0.8516250000000001
139032,acc,0.87075
440268,acc,0.826125
973224,acc,0.8871249999999999
625644,acc,0.891875
417096,acc,0.7410000000000001
162204,acc,0.838875
463440,acc,0.8525
208548,acc,0.8334999999999999
370752,acc,0.7985
671988,acc,0.856125
254892,acc,0.837
764676,acc,0.89675
787848,acc,0.893
811020,acc,0.891125
741504,acc,0.898875
324408,acc,0.791
301236,acc,0.7885
579300,acc,0.8803749999999999
115860,acc,0.881625
509784,acc,0.801625
46344,acc,0.892625
926880,acc,0.8905000000000001
532956,acc,0.80425
69516,acc,0.86525
556128,acc,0.852625
92688,acc,0.885
278064,acc,0.8231249999999999
347580,acc,0.804875
950052,acc,0.8957499999999999
857364,acc,0.8865000000000001
695160,acc,0.8920000000000001
903708,acc,0.887
880536,acc,0.879
718332,acc,0.89025
834192,acc,0.882125
10,acc,0.48974999999999996
20,acc,0.49
0,acc,0.489625
100,acc,0.5045000000000001
800,acc,0.508625
200,acc,0.5055000000000001
40,acc,0.49550000000000005
400,acc,0.502
