checkpoint (in update steps),metric_name,metric
545904,acc,0.938625
568650,acc,0.939875
614142,acc,0.935625
159222,acc,0.936375
45492,acc,0.92475
341190,acc,0.9344999999999999
318444,acc,0.935375
659634,acc,0.9428749999999999
204714,acc,0.938
136476,acc,0.9492499999999999
68238,acc,0.93625
818856,acc,0.9405
864348,acc,0.942875
932586,acc,0.938375
250206,acc,0.936125
386682,acc,0.93175
523158,acc,0.943125
454920,acc,0.93575
705126,acc,0.9408749999999999
500412,acc,0.935375
432174,acc,0.940625
591396,acc,0.93275
22746,acc,0.919125
181968,acc,0.9435
90984,acc,0.943
113730,acc,0.9415
636888,acc,0.935625
363936,acc,0.932875
773364,acc,0.912
796110,acc,0.94
1000824,acc,0.94
955332,acc,0.940125
887094,acc,0.9412499999999999
978078,acc,0.939875
841602,acc,0.93975
909840,acc,0.942
750618,acc,0.9376249999999999
682380,acc,0.93875
477666,acc,0.9335
227460,acc,0.9404999999999999
295698,acc,0.93425
727872,acc,0.939375
409428,acc,0.9412499999999999
272952,acc,0.9325
10,acc,0.488625
20,acc,0.48862500000000003
0,acc,0.489625
100,acc,0.5135
800,acc,0.49012500000000003
200,acc,0.508125
40,acc,0.4922500000000001
400,acc,0.507125
