checkpoint (in update steps),metric_name,metric
224370,acc,0.938125
381429,acc,0.93775
179496,acc,0.9450000000000001
628236,acc,0.9361249999999999
471177,acc,0.9384999999999999
22437,acc,0.91275
583362,acc,0.9401250000000001
134622,acc,0.942625
426303,acc,0.93475
605799,acc,0.940375
403866,acc,0.9405
157059,acc,0.942125
448740,acc,0.94175
0,acc,0.489625
201933,acc,0.9388749999999999
358992,acc,0.9333750000000001
650673,acc,0.938125
246807,acc,0.9375
740421,acc,0.93925
762858,acc,0.942375
785295,acc,0.9372499999999999
717984,acc,0.933875
314118,acc,0.935875
291681,acc,0.937875
560925,acc,0.9415
112185,acc,0.938
493614,acc,0.936375
44874,acc,0.937875
897480,acc,0.9404999999999999
516051,acc,0.9445
67311,acc,0.9345
538488,acc,0.9448749999999999
89748,acc,0.944
269244,acc,0.925875
336555,acc,0.9388749999999999
919917,acc,0.94275
830169,acc,0.940875
673110,acc,0.940875
875043,acc,0.9376249999999999
852606,acc,0.93675
695547,acc,0.938125
807732,acc,0.9355
10,acc,0.48875
20,acc,0.489
4000,acc,0.532375
5000,acc,0.5387500000000001
100,acc,0.514875
1000,acc,0.49512500000000004
14000,acc,0.842375
20000,acc,0.884625
10000,acc,0.691125
11000,acc,0.7433749999999999
15000,acc,0.8475
800,acc,0.49187499999999995
21000,acc,0.903875
200,acc,0.5077499999999999
12000,acc,0.8025
40,acc,0.491875
16000,acc,0.862
8000,acc,0.570625
22000,acc,0.9025000000000001
17000,acc,0.874625
9000,acc,0.6
13000,acc,0.838625
6000,acc,0.54325
18000,acc,0.8783749999999999
2000,acc,0.5037499999999999
400,acc,0.50525
3000,acc,0.5242500000000001
7000,acc,0.549875
19000,acc,0.8732500000000001
