checkpoint (in update steps),metric_name,metric
12800,acc,0.835
10,acc,0.396
100000,acc,0.9225
380000,acc,0.8965000000000001
120000,acc,0.923
20,acc,0.396
0,acc,0.397
160000,acc,0.9139999999999999
100,acc,0.39049999999999996
140000,acc,0.9175
280000,acc,0.915
660000,acc,0.9215
720000,acc,0.9025
20000,acc,0.8835
980000,acc,0.9119999999999999
640000,acc,0.9239999999999999
700000,acc,0.9165
580000,acc,0.9205
3200,acc,0.41800000000000004
740000,acc,0.9175
600000,acc,0.9179999999999999
480000,acc,0.8919999999999999
40000,acc,0.9355
880000,acc,0.911
60000,acc,0.912
800,acc,0.375
760000,acc,0.9155
620000,acc,0.9239999999999999
200,acc,0.377
840000,acc,0.9045000000000001
900000,acc,0.9139999999999999
520000,acc,0.891
460000,acc,0.8979999999999999
40,acc,0.38949999999999996
780000,acc,0.9239999999999999
500000,acc,0.9015
440000,acc,0.9139999999999999
80000,acc,0.9135
860000,acc,0.913
920000,acc,0.919
960000,acc,0.9095
820000,acc,0.9099999999999999
680000,acc,0.9119999999999999
400000,acc,0.911
540000,acc,0.9075
1600,acc,0.399
420000,acc,0.9035
560000,acc,0.9075
940000,acc,0.9115
800000,acc,0.909
180000,acc,0.9135
240000,acc,0.913
300000,acc,0.894
6400,acc,0.5385
1000000,acc,0.913
260000,acc,0.9155
320000,acc,0.9155
360000,acc,0.8935
220000,acc,0.9105
400,acc,0.36650000000000005
340000,acc,0.9005
200000,acc,0.9185
