checkpoint (in update steps),metric_name,metric
906655,acc,0.886
927740,acc,0.885
210850,acc,0.9035
358445,acc,0.89
168680,acc,0.8925
590380,acc,0.8895
442785,acc,0.8859999999999999
21085,acc,0.8995
548210,acc,0.873
126510,acc,0.9205
400615,acc,0.9085
948825,acc,0.8835
885570,acc,0.8915
569295,acc,0.899
379530,acc,0.8985
147595,acc,0.913
421700,acc,0.891
0,acc,0.397
189765,acc,0.899
337360,acc,0.9059999999999999
611465,acc,0.8845
231935,acc,0.9005
695805,acc,0.8959999999999999
716890,acc,0.8855
737975,acc,0.8905
674720,acc,0.8745
295190,acc,0.8845
274105,acc,0.903
527125,acc,0.8835
105425,acc,0.91
463870,acc,0.8654999999999999
42170,acc,0.914
990995,acc,0.8835
843400,acc,0.8885000000000001
484955,acc,0.8700000000000001
63255,acc,0.9085000000000001
506040,acc,0.887
84340,acc,0.9199999999999999
253020,acc,0.8965
316275,acc,0.9055
864485,acc,0.885
969910,acc,0.936
1012080,acc,0.883
780145,acc,0.891
632550,acc,0.8985
822315,acc,0.8895
801230,acc,0.8935
653635,acc,0.8935
759060,acc,0.887
10,acc,0.396
20,acc,0.39649999999999996
100,acc,0.388
800,acc,0.3775
200,acc,0.3765
40,acc,0.38849999999999996
400,acc,0.369
