checkpoint (in update steps),metric_name,metric
66694,acc,0.9075
133388,acc,0.9245
200082,acc,0.9095
266776,acc,0.907
12800,acc,0.7665
10,acc,0.3995
100000,acc,0.9430000000000001
380000,acc,0.897
120000,acc,0.913
20,acc,0.403
0,acc,0.3985
160000,acc,0.9375
100,acc,0.4155
140000,acc,0.913
280000,acc,0.9055
660000,acc,0.9139999999999999
720000,acc,0.9135
20000,acc,0.8575
980000,acc,0.9135
640000,acc,0.9115
700000,acc,0.9145
3200,acc,0.399
740000,acc,0.9139999999999999
600000,acc,0.9165
480000,acc,0.9039999999999999
40000,acc,0.9085
880000,acc,0.9119999999999999
60000,acc,0.9135
800,acc,0.366
760000,acc,0.9185
620000,acc,0.9079999999999999
200,acc,0.41000000000000003
840000,acc,0.9165
900000,acc,0.905
520000,acc,0.9055
460000,acc,0.903
40,acc,0.4035
780000,acc,0.9135
500000,acc,0.8939999999999999
440000,acc,0.8925
80000,acc,0.911
860000,acc,0.9099999999999999
920000,acc,0.913
960000,acc,0.9125
820000,acc,0.917
680000,acc,0.9225
400000,acc,0.8965
540000,acc,0.9135
1600,acc,0.391
420000,acc,0.8859999999999999
560000,acc,0.9125
940000,acc,0.909
800000,acc,0.921
180000,acc,0.9139999999999999
240000,acc,0.9005
300000,acc,0.887
6400,acc,0.5155
1000000,acc,0.9105
260000,acc,0.9115
320000,acc,0.9019999999999999
360000,acc,0.901
220000,acc,0.911
400,acc,0.3855
340000,acc,0.901
200000,acc,0.9159999999999999
