checkpoint (in update steps),metric_name,metric
996396,acc,0.829
1019568,acc,0.8285
231720,acc,0.6595
393924,acc,0.6765
185376,acc,0.6435
648816,acc,0.7675000000000001
486612,acc,0.687
23172,acc,0.6455
602472,acc,0.7765
139032,acc,0.7050000000000001
440268,acc,0.723
973224,acc,0.8285
625644,acc,0.8145
417096,acc,0.653
162204,acc,0.6755
463440,acc,0.764
208548,acc,0.659
370752,acc,0.6565
671988,acc,0.7815000000000001
254892,acc,0.6265
764676,acc,0.8105
787848,acc,0.825
811020,acc,0.7975
741504,acc,0.8065
324408,acc,0.6619999999999999
301236,acc,0.7
579300,acc,0.7885
115860,acc,0.749
509784,acc,0.738
46344,acc,0.714
926880,acc,0.8045
532956,acc,0.652
69516,acc,0.639
556128,acc,0.738
92688,acc,0.7175
278064,acc,0.653
347580,acc,0.647
950052,acc,0.8225
857364,acc,0.8109999999999999
695160,acc,0.8375
903708,acc,0.821
880536,acc,0.8005
718332,acc,0.8105
834192,acc,0.79
10,acc,0.396
20,acc,0.39649999999999996
0,acc,0.397
100,acc,0.403
800,acc,0.3685
200,acc,0.4075
40,acc,0.39049999999999996
400,acc,0.37
