checkpoint (in update steps),metric_name,metric
545904,acc,0.882
568650,acc,0.876
614142,acc,0.8775
159222,acc,0.8999999999999999
45492,acc,0.8815
341190,acc,0.872
318444,acc,0.867
659634,acc,0.8815
204714,acc,0.889
136476,acc,0.8979999999999999
68238,acc,0.911
818856,acc,0.8845000000000001
864348,acc,0.8825000000000001
932586,acc,0.8879999999999999
250206,acc,0.8765000000000001
386682,acc,0.8694999999999999
523158,acc,0.867
454920,acc,0.8845000000000001
705126,acc,0.881
500412,acc,0.868
432174,acc,0.8625
591396,acc,0.8585
22746,acc,0.831
181968,acc,0.889
90984,acc,0.8939999999999999
113730,acc,0.9175
636888,acc,0.872
363936,acc,0.862
773364,acc,0.88
796110,acc,0.887
1000824,acc,0.8895
955332,acc,0.882
887094,acc,0.8885
978078,acc,0.887
841602,acc,0.882
909840,acc,0.8875
750618,acc,0.885
682380,acc,0.8725
477666,acc,0.866
227460,acc,0.8875
295698,acc,0.8855
727872,acc,0.876
409428,acc,0.8594999999999999
272952,acc,0.9059999999999999
10,acc,0.396
20,acc,0.396
0,acc,0.397
100,acc,0.39149999999999996
800,acc,0.38949999999999996
200,acc,0.37250000000000005
40,acc,0.391
400,acc,0.3815
