checkpoint (in update steps),metric_name,metric
224370,acc,0.8999999999999999
381429,acc,0.8705
179496,acc,0.888
628236,acc,0.8839999999999999
471177,acc,0.8959999999999999
22437,acc,0.8879999999999999
583362,acc,0.8845
134622,acc,0.8865000000000001
426303,acc,0.8905
605799,acc,0.885
403866,acc,0.8895
157059,acc,0.879
448740,acc,0.878
0,acc,0.397
201933,acc,0.8995
358992,acc,0.869
650673,acc,0.868
246807,acc,0.8705
740421,acc,0.8855
762858,acc,0.885
785295,acc,0.8694999999999999
717984,acc,0.887
314118,acc,0.8919999999999999
291681,acc,0.8879999999999999
560925,acc,0.8885
112185,acc,0.8955
493614,acc,0.868
44874,acc,0.8979999999999999
897480,acc,0.8755
516051,acc,0.8795
67311,acc,0.884
538488,acc,0.8865
89748,acc,0.9039999999999999
269244,acc,0.8775
336555,acc,0.8919999999999999
919917,acc,0.879
830169,acc,0.8899999999999999
673110,acc,0.874
875043,acc,0.878
852606,acc,0.8805000000000001
695547,acc,0.8775
807732,acc,0.878
10,acc,0.396
20,acc,0.396
4000,acc,0.485
5000,acc,0.526
100,acc,0.39049999999999996
1000,acc,0.40549999999999997
14000,acc,0.8
20000,acc,0.8494999999999999
10000,acc,0.642
11000,acc,0.6775
15000,acc,0.8240000000000001
800,acc,0.398
21000,acc,0.861
200,acc,0.37150000000000005
12000,acc,0.7295
40,acc,0.39
16000,acc,0.8125
8000,acc,0.45549999999999996
22000,acc,0.8645
17000,acc,0.818
9000,acc,0.509
13000,acc,0.7709999999999999
6000,acc,0.5695
18000,acc,0.8474999999999999
2000,acc,0.4355
400,acc,0.3825
3000,acc,0.4485
7000,acc,0.48850000000000005
19000,acc,0.84
