checkpoint (in update steps),metric_name,metric
12800,acc,0.6332857142857142
10,acc,0.48514285714285715
100000,acc,0.8501428571428571
380000,acc,0.8735714285714286
120000,acc,0.8625714285714288
20,acc,0.48600000000000004
0,acc,0.4855714285714286
160000,acc,0.8887142857142857
100,acc,0.48471428571428576
140000,acc,0.8604285714285714
280000,acc,0.8785714285714287
660000,acc,0.8848571428571429
720000,acc,0.8884285714285715
20000,acc,0.7085714285714287
980000,acc,0.8942857142857144
640000,acc,0.8841428571428571
700000,acc,0.8927142857142857
580000,acc,0.8854285714285715
3200,acc,0.6888571428571428
740000,acc,0.8872857142857142
600000,acc,0.8799999999999999
480000,acc,0.8774285714285713
40000,acc,0.7738571428571428
880000,acc,0.8915714285714286
60000,acc,0.7995714285714286
800,acc,0.7140000000000001
760000,acc,0.8865714285714287
620000,acc,0.8882857142857142
200,acc,0.5831428571428571
840000,acc,0.8904285714285713
900000,acc,0.8910000000000001
520000,acc,0.8818571428571428
460000,acc,0.8757142857142856
40,acc,0.48328571428571426
780000,acc,0.8824285714285713
500000,acc,0.8822857142857143
440000,acc,0.8812857142857143
80000,acc,0.8415714285714285
860000,acc,0.8961428571428571
920000,acc,0.8924285714285715
960000,acc,0.8924285714285715
820000,acc,0.8887142857142856
680000,acc,0.8924285714285715
400000,acc,0.8845714285714286
540000,acc,0.8748571428571428
1600,acc,0.7108571428571429
420000,acc,0.8705714285714287
560000,acc,0.8782857142857142
940000,acc,0.8917142857142858
800000,acc,0.8874285714285713
180000,acc,0.883
240000,acc,0.8654285714285715
300000,acc,0.8624285714285714
6400,acc,0.6908571428571427
1000000,acc,0.8941428571428572
260000,acc,0.8731428571428571
320000,acc,0.8788571428571429
360000,acc,0.8817142857142857
220000,acc,0.8707142857142858
400,acc,0.5727142857142857
340000,acc,0.8680000000000001
200000,acc,0.8772857142857143
