checkpoint (in update steps),metric_name,metric
545904,acc,0.8154285714285715
568650,acc,0.8157142857142857
614142,acc,0.8061428571428572
159222,acc,0.7504285714285714
45492,acc,0.6778571428571428
341190,acc,0.8075714285714286
318444,acc,0.7945714285714285
659634,acc,0.8071428571428572
204714,acc,0.7797142857142857
136476,acc,0.7562857142857141
68238,acc,0.6948571428571428
818856,acc,0.8087142857142856
864348,acc,0.8205714285714285
932586,acc,0.807142857142857
250206,acc,0.7944285714285714
386682,acc,0.8085714285714285
523158,acc,0.7975714285714286
454920,acc,0.7971428571428572
705126,acc,0.8107142857142856
500412,acc,0.8047142857142857
432174,acc,0.8144285714285715
591396,acc,0.812
22746,acc,0.6351428571428572
181968,acc,0.765
90984,acc,0.703
113730,acc,0.7225714285714285
636888,acc,0.8085714285714285
363936,acc,0.8004285714285714
773364,acc,0.7965714285714284
796110,acc,0.8042857142857142
1000824,acc,0.813
955332,acc,0.8152857142857142
887094,acc,0.8162857142857144
978078,acc,0.8108571428571428
841602,acc,0.7995714285714286
909840,acc,0.8125714285714286
750618,acc,0.8067142857142857
682380,acc,0.796142857142857
477666,acc,0.8048571428571429
227460,acc,0.797
295698,acc,0.7904285714285715
727872,acc,0.8097142857142856
409428,acc,0.8017142857142857
272952,acc,0.7859999999999999
10,acc,0.4852857142857143
20,acc,0.48500000000000004
0,acc,0.4855714285714286
100,acc,0.47057142857142853
800,acc,0.5698571428571428
200,acc,0.483
40,acc,0.48
400,acc,0.4818571428571428
