checkpoint (in update steps),metric_name,metric
224370,acc,0.775857142857143
381429,acc,0.7748571428571429
179496,acc,0.7465714285714286
628236,acc,0.7972857142857143
471177,acc,0.7858571428571429
22437,acc,0.6355714285714286
583362,acc,0.7984285714285715
134622,acc,0.7448571428571428
426303,acc,0.7907142857142857
605799,acc,0.8038571428571427
403866,acc,0.7762857142857141
157059,acc,0.7434285714285715
448740,acc,0.7967142857142856
0,acc,0.4855714285714286
201933,acc,0.7714285714285714
358992,acc,0.7945714285714286
650673,acc,0.7978571428571429
246807,acc,0.7822857142857143
740421,acc,0.8038571428571428
762858,acc,0.8041428571428572
785295,acc,0.8022857142857143
717984,acc,0.7965714285714286
314118,acc,0.7738571428571427
291681,acc,0.7898571428571428
560925,acc,0.7984285714285714
112185,acc,0.7674285714285716
493614,acc,0.7855714285714285
44874,acc,0.6875714285714285
897480,acc,0.8087142857142856
516051,acc,0.7942857142857142
67311,acc,0.6995714285714286
538488,acc,0.8051428571428572
89748,acc,0.7534285714285714
269244,acc,0.7824285714285714
336555,acc,0.7881428571428571
919917,acc,0.8141428571428572
830169,acc,0.8124285714285714
673110,acc,0.7957142857142857
875043,acc,0.8107142857142857
852606,acc,0.8067142857142857
695547,acc,0.8025714285714285
807732,acc,0.7981428571428573
10,acc,0.4854285714285714
20,acc,0.4841428571428571
4000,acc,0.6759999999999999
5000,acc,0.6814285714285714
100,acc,0.4731428571428572
1000,acc,0.7132857142857143
14000,acc,0.6181428571428571
20000,acc,0.612142857142857
10000,acc,0.6531428571428571
11000,acc,0.66
15000,acc,0.6064285714285713
800,acc,0.5874285714285713
21000,acc,0.6198571428571429
200,acc,0.4872857142857142
12000,acc,0.6384285714285715
40,acc,0.47971428571428565
16000,acc,0.6048571428571429
8000,acc,0.693
22000,acc,0.6274285714285713
17000,acc,0.6092857142857142
9000,acc,0.6465714285714285
13000,acc,0.6232857142857143
6000,acc,0.6964285714285714
18000,acc,0.614
2000,acc,0.7060000000000001
400,acc,0.48028571428571426
3000,acc,0.6895714285714286
7000,acc,0.7108571428571429
19000,acc,0.6265714285714286
