checkpoint (in update steps),metric_name,metric
12800,acc,0.9435
10,acc,0.5
100000,acc,0.912
380000,acc,0.94
120000,acc,0.9065000000000001
20,acc,0.503
0,acc,0.5
160000,acc,0.8945000000000001
100,acc,0.518
140000,acc,0.924
280000,acc,0.899
660000,acc,0.9524999999999999
720000,acc,0.9444999999999999
20000,acc,0.9339999999999999
980000,acc,0.9475
640000,acc,0.9339999999999999
700000,acc,0.9435
580000,acc,0.9299999999999999
3200,acc,0.5609999999999999
740000,acc,0.945
600000,acc,0.9385
480000,acc,0.9285000000000001
40000,acc,0.946
880000,acc,0.9425
60000,acc,0.9455
800,acc,0.5355
760000,acc,0.9405
620000,acc,0.9385
200,acc,0.6055
840000,acc,0.9435
900000,acc,0.9395
520000,acc,0.942
460000,acc,0.9375
40,acc,0.506
780000,acc,0.95
500000,acc,0.9285000000000001
440000,acc,0.943
80000,acc,0.917
860000,acc,0.947
920000,acc,0.9504999999999999
960000,acc,0.95
820000,acc,0.944
680000,acc,0.9404999999999999
400000,acc,0.942
540000,acc,0.9165000000000001
1600,acc,0.545
420000,acc,0.9305
560000,acc,0.9135
940000,acc,0.9455
800000,acc,0.9415
180000,acc,0.9305000000000001
240000,acc,0.9415
300000,acc,0.9345
6400,acc,0.5865
1000000,acc,0.948
260000,acc,0.919
320000,acc,0.9315
360000,acc,0.951
220000,acc,0.9215
400,acc,0.6165
340000,acc,0.9339999999999999
200000,acc,0.931
