checkpoint (in update steps),metric_name,metric
906655,acc,0.94
927740,acc,0.944
210850,acc,0.926
358445,acc,0.9125000000000001
168680,acc,0.9125000000000001
590380,acc,0.9435
442785,acc,0.9059999999999999
21085,acc,0.942
548210,acc,0.928
126510,acc,0.857
400615,acc,0.923
948825,acc,0.948
885570,acc,0.9470000000000001
569295,acc,0.9390000000000001
379530,acc,0.918
147595,acc,0.887
421700,acc,0.904
0,acc,0.5
189765,acc,0.917
337360,acc,0.9215
611465,acc,0.9125000000000001
231935,acc,0.9045000000000001
695805,acc,0.9430000000000001
716890,acc,0.9265000000000001
737975,acc,0.9390000000000001
674720,acc,0.933
295190,acc,0.9095
274105,acc,0.9404999999999999
527125,acc,0.926
105425,acc,0.9045000000000001
463870,acc,0.9175
42170,acc,0.9155
990995,acc,0.95
843400,acc,0.9464999999999999
484955,acc,0.9175
63255,acc,0.906
506040,acc,0.9175
84340,acc,0.9325
253020,acc,0.9125000000000001
316275,acc,0.925
864485,acc,0.9515
969910,acc,0.952
1012080,acc,0.9490000000000001
780145,acc,0.9365
632550,acc,0.9325000000000001
822315,acc,0.9385
801230,acc,0.9375
653635,acc,0.9145000000000001
759060,acc,0.9405
10,acc,0.501
20,acc,0.506
100,acc,0.515
800,acc,0.5295000000000001
200,acc,0.6215
40,acc,0.5205
400,acc,0.6224999999999999
