checkpoint (in update steps),metric_name,metric
66694,acc,0.9445
133388,acc,0.95
200082,acc,0.938
266776,acc,0.9555
12800,acc,0.931
10,acc,0.42700000000000005
100000,acc,0.9395
380000,acc,0.9365
120000,acc,0.9175
20,acc,0.4265
0,acc,0.42700000000000005
160000,acc,0.8885000000000001
100,acc,0.39549999999999996
140000,acc,0.9339999999999999
280000,acc,0.938
660000,acc,0.956
720000,acc,0.9604999999999999
20000,acc,0.9630000000000001
980000,acc,0.966
640000,acc,0.964
700000,acc,0.963
3200,acc,0.45999999999999996
740000,acc,0.9704999999999999
600000,acc,0.961
480000,acc,0.9545
40000,acc,0.9430000000000001
880000,acc,0.969
60000,acc,0.9475
800,acc,0.526
760000,acc,0.973
620000,acc,0.9485
200,acc,0.5255000000000001
840000,acc,0.9635
900000,acc,0.966
520000,acc,0.958
460000,acc,0.9425
40,acc,0.42300000000000004
780000,acc,0.971
500000,acc,0.9524999999999999
440000,acc,0.9604999999999999
80000,acc,0.9315
860000,acc,0.9655
920000,acc,0.966
960000,acc,0.9610000000000001
820000,acc,0.956
680000,acc,0.9704999999999999
400000,acc,0.9444999999999999
540000,acc,0.9595
1600,acc,0.527
420000,acc,0.956
560000,acc,0.9515
940000,acc,0.963
800000,acc,0.964
180000,acc,0.9025
240000,acc,0.954
300000,acc,0.952
6400,acc,0.567
1000000,acc,0.9655
260000,acc,0.949
320000,acc,0.9410000000000001
360000,acc,0.9445
220000,acc,0.9325
400,acc,0.5445
340000,acc,0.931
200000,acc,0.9315
