checkpoint (in update steps),metric_name,metric
996396,acc,0.9359999999999999
1019568,acc,0.9359999999999999
231720,acc,0.94
393924,acc,0.923
185376,acc,0.9295
648816,acc,0.9135
486612,acc,0.8905000000000001
23172,acc,0.9115
602472,acc,0.909
139032,acc,0.9450000000000001
440268,acc,0.8975
973224,acc,0.931
625644,acc,0.9425
417096,acc,0.9185
162204,acc,0.9405
463440,acc,0.8835
208548,acc,0.9345
370752,acc,0.8999999999999999
671988,acc,0.9315
254892,acc,0.9275
764676,acc,0.933
787848,acc,0.9435
811020,acc,0.9365
741504,acc,0.9339999999999999
324408,acc,0.951
301236,acc,0.915
579300,acc,0.93
115860,acc,0.938
509784,acc,0.8500000000000001
46344,acc,0.9179999999999999
926880,acc,0.936
532956,acc,0.893
69516,acc,0.861
556128,acc,0.916
92688,acc,0.909
278064,acc,0.9345
347580,acc,0.9255
950052,acc,0.938
857364,acc,0.937
695160,acc,0.9435
903708,acc,0.9345
880536,acc,0.9265000000000001
718332,acc,0.9265
834192,acc,0.941
10,acc,0.49750000000000005
20,acc,0.48750000000000004
0,acc,0.5
100,acc,0.3415
800,acc,0.5609999999999999
200,acc,0.4395
40,acc,0.4405
400,acc,0.489
