checkpoint (in update steps),metric_name,metric
545904,acc,0.9015
568650,acc,0.92
614142,acc,0.925
159222,acc,0.871
45492,acc,0.8825000000000001
341190,acc,0.9045000000000001
318444,acc,0.889
659634,acc,0.922
204714,acc,0.8734999999999999
136476,acc,0.9225000000000001
68238,acc,0.9235
818856,acc,0.896
864348,acc,0.908
932586,acc,0.9185000000000001
250206,acc,0.895
386682,acc,0.932
523158,acc,0.9235
454920,acc,0.8959999999999999
705126,acc,0.908
500412,acc,0.898
432174,acc,0.895
591396,acc,0.916
22746,acc,0.929
181968,acc,0.8895
90984,acc,0.93
113730,acc,0.906
636888,acc,0.9195
363936,acc,0.9095
773364,acc,0.8714999999999999
796110,acc,0.929
1000824,acc,0.9115
955332,acc,0.9155
887094,acc,0.9185000000000001
978078,acc,0.912
841602,acc,0.9135
909840,acc,0.925
750618,acc,0.915
682380,acc,0.9205
477666,acc,0.9205000000000001
227460,acc,0.887
295698,acc,0.911
727872,acc,0.916
409428,acc,0.9145000000000001
272952,acc,0.922
10,acc,0.5005
20,acc,0.504
0,acc,0.5
100,acc,0.5
800,acc,0.5245
200,acc,0.6154999999999999
40,acc,0.5165
400,acc,0.7015
