checkpoint (in update steps),metric_name,metric
224370,acc,0.925
381429,acc,0.9175
179496,acc,0.9155
628236,acc,0.94
471177,acc,0.923
22437,acc,0.915
583362,acc,0.9295
134622,acc,0.9065000000000001
426303,acc,0.881
605799,acc,0.9405
403866,acc,0.907
157059,acc,0.9035
448740,acc,0.9365
0,acc,0.5
201933,acc,0.9245
358992,acc,0.9265000000000001
650673,acc,0.9495
246807,acc,0.9135
740421,acc,0.9435
762858,acc,0.955
785295,acc,0.929
717984,acc,0.9255
314118,acc,0.921
291681,acc,0.914
560925,acc,0.9215
112185,acc,0.902
493614,acc,0.8925000000000001
44874,acc,0.9055
897480,acc,0.9255
516051,acc,0.9305000000000001
67311,acc,0.8955
538488,acc,0.906
89748,acc,0.881
269244,acc,0.925
336555,acc,0.9245000000000001
919917,acc,0.934
830169,acc,0.9325
673110,acc,0.9315
875043,acc,0.9375
852606,acc,0.9305000000000001
695547,acc,0.9325000000000001
807732,acc,0.9390000000000001
10,acc,0.5005
20,acc,0.5035000000000001
4000,acc,0.6185
5000,acc,0.627
100,acc,0.5
1000,acc,0.514
14000,acc,0.8725
20000,acc,0.9075
10000,acc,0.8785000000000001
11000,acc,0.9005
15000,acc,0.8395
800,acc,0.552
21000,acc,0.927
200,acc,0.6034999999999999
12000,acc,0.9125
40,acc,0.514
16000,acc,0.8685
8000,acc,0.577
22000,acc,0.9195
17000,acc,0.8875
9000,acc,0.6639999999999999
13000,acc,0.885
6000,acc,0.5609999999999999
18000,acc,0.8885000000000001
2000,acc,0.537
400,acc,0.683
3000,acc,0.6345
7000,acc,0.5735
19000,acc,0.894
