checkpoint (in update steps),metric_name,metric
12800,acc,0.46975
10,acc,0.440625
100000,acc,0.7130000000000001
380000,acc,0.7855
120000,acc,0.73825
20,acc,0.436625
0,acc,0.442
160000,acc,0.7575000000000001
100,acc,0.443125
140000,acc,0.7585
280000,acc,0.7581249999999999
660000,acc,0.8109999999999999
720000,acc,0.8022499999999999
20000,acc,0.50275
980000,acc,0.81525
640000,acc,0.805125
700000,acc,0.811625
580000,acc,0.8053750000000001
3200,acc,0.576125
740000,acc,0.79775
600000,acc,0.78125
480000,acc,0.7865
40000,acc,0.63775
880000,acc,0.810125
60000,acc,0.6656250000000001
800,acc,0.48437500000000006
760000,acc,0.802375
620000,acc,0.789875
200,acc,0.460375
840000,acc,0.810125
900000,acc,0.8095
520000,acc,0.7867500000000001
460000,acc,0.780375
40,acc,0.427125
780000,acc,0.797875
500000,acc,0.7955000000000001
440000,acc,0.794625
80000,acc,0.705625
860000,acc,0.818875
920000,acc,0.8066249999999999
960000,acc,0.806
820000,acc,0.8135
680000,acc,0.813125
400000,acc,0.797
540000,acc,0.775625
1600,acc,0.593
420000,acc,0.7945
560000,acc,0.7831250000000001
940000,acc,0.8109999999999999
800000,acc,0.803625
180000,acc,0.762375
240000,acc,0.7771250000000001
300000,acc,0.782625
6400,acc,0.5211250000000001
1000000,acc,0.81025
260000,acc,0.74725
320000,acc,0.768375
360000,acc,0.7805
220000,acc,0.760875
400,acc,0.453
340000,acc,0.77725
200000,acc,0.745875
