checkpoint (in update steps),metric_name,metric
906655,acc,0.7827500000000001
927740,acc,0.780375
210850,acc,0.747
358445,acc,0.7495
168680,acc,0.73875
590380,acc,0.787625
442785,acc,0.780875
21085,acc,0.536625
548210,acc,0.775625
126510,acc,0.722125
400615,acc,0.77075
948825,acc,0.78375
885570,acc,0.78325
569295,acc,0.775125
379530,acc,0.748125
147595,acc,0.725
421700,acc,0.761
0,acc,0.442
189765,acc,0.7338749999999999
337360,acc,0.747625
611465,acc,0.758125
231935,acc,0.7414999999999999
695805,acc,0.773125
716890,acc,0.7665000000000001
737975,acc,0.7845
674720,acc,0.790125
295190,acc,0.7655000000000001
274105,acc,0.769
527125,acc,0.7785
105425,acc,0.7021250000000001
463870,acc,0.747125
42170,acc,0.6194999999999999
990995,acc,0.78175
843400,acc,0.7775
484955,acc,0.762625
63255,acc,0.666625
506040,acc,0.763625
84340,acc,0.707875
253020,acc,0.7515000000000001
316275,acc,0.75475
864485,acc,0.774
969910,acc,0.7793749999999999
1012080,acc,0.78275
780145,acc,0.7701250000000001
632550,acc,0.776875
822315,acc,0.7745000000000001
801230,acc,0.76975
653635,acc,0.77925
759060,acc,0.775625
10,acc,0.44075
20,acc,0.43674999999999997
100,acc,0.44599999999999995
800,acc,0.475875
200,acc,0.46462499999999995
40,acc,0.425875
400,acc,0.45424999999999993
