checkpoint (in update steps),metric_name,metric
66694,acc,0.6376250000000001
133388,acc,0.686125
200082,acc,0.7246250000000001
266776,acc,0.746375
12800,acc,0.415625
10,acc,0.5627500000000001
100000,acc,0.656125
380000,acc,0.76375
120000,acc,0.7130000000000001
20,acc,0.56325
0,acc,0.5625
160000,acc,0.705875
100,acc,0.50725
140000,acc,0.6877500000000001
280000,acc,0.758
660000,acc,0.779625
720000,acc,0.7935000000000001
20000,acc,0.484125
980000,acc,0.793875
640000,acc,0.7907500000000001
700000,acc,0.780875
3200,acc,0.536125
740000,acc,0.7895
600000,acc,0.7889999999999999
480000,acc,0.78075
40000,acc,0.58925
880000,acc,0.79575
60000,acc,0.6203749999999999
800,acc,0.47750000000000004
760000,acc,0.784375
620000,acc,0.78875
200,acc,0.50175
840000,acc,0.797125
900000,acc,0.7913749999999999
520000,acc,0.78825
460000,acc,0.770875
40,acc,0.5627500000000001
780000,acc,0.792
500000,acc,0.792375
440000,acc,0.7742500000000001
80000,acc,0.644875
860000,acc,0.7937500000000001
920000,acc,0.789625
960000,acc,0.7915
820000,acc,0.79325
680000,acc,0.77725
400000,acc,0.77525
540000,acc,0.778875
1600,acc,0.5485
420000,acc,0.7757499999999999
560000,acc,0.783
940000,acc,0.79475
800000,acc,0.78275
180000,acc,0.723875
240000,acc,0.727
300000,acc,0.7601249999999999
6400,acc,0.53675
1000000,acc,0.794375
260000,acc,0.7464999999999999
320000,acc,0.769
360000,acc,0.76125
220000,acc,0.7002499999999999
400,acc,0.484125
340000,acc,0.776625
200000,acc,0.73325
