checkpoint (in update steps),metric_name,metric
996396,acc,0.611125
1019568,acc,0.613125
231720,acc,0.584875
393924,acc,0.619375
185376,acc,0.5975
648816,acc,0.5991249999999999
486612,acc,0.5974999999999999
23172,acc,0.544875
602472,acc,0.5715
139032,acc,0.587125
440268,acc,0.6275
973224,acc,0.616625
625644,acc,0.61725
417096,acc,0.616125
162204,acc,0.59925
463440,acc,0.617375
208548,acc,0.5489999999999999
370752,acc,0.6023750000000001
671988,acc,0.5967500000000001
254892,acc,0.5574999999999999
764676,acc,0.589375
787848,acc,0.606125
811020,acc,0.615375
741504,acc,0.608375
324408,acc,0.6392500000000001
301236,acc,0.581375
579300,acc,0.5895
115860,acc,0.5778749999999999
509784,acc,0.586125
46344,acc,0.51675
926880,acc,0.6171249999999999
532956,acc,0.6545
69516,acc,0.584125
556128,acc,0.59625
92688,acc,0.5425
278064,acc,0.5765
347580,acc,0.618
950052,acc,0.6125
857364,acc,0.6198750000000001
695160,acc,0.6151249999999999
903708,acc,0.6134999999999999
880536,acc,0.605375
718332,acc,0.630125
834192,acc,0.64975
10,acc,0.44125
20,acc,0.44
0,acc,0.442
100,acc,0.4495
800,acc,0.48712500000000003
200,acc,0.43674999999999997
40,acc,0.43762500000000004
400,acc,0.4585
