checkpoint (in update steps),metric_name,metric
545904,acc,0.6599999999999999
568650,acc,0.640375
614142,acc,0.6441250000000001
159222,acc,0.5255000000000001
45492,acc,0.484125
341190,acc,0.599625
318444,acc,0.576375
659634,acc,0.665
204714,acc,0.538875
136476,acc,0.55575
68238,acc,0.49574999999999997
818856,acc,0.643125
864348,acc,0.6625
932586,acc,0.647125
250206,acc,0.58275
386682,acc,0.594125
523158,acc,0.6455
454920,acc,0.634
705126,acc,0.659625
500412,acc,0.649625
432174,acc,0.59875
591396,acc,0.618625
22746,acc,0.532375
181968,acc,0.531625
90984,acc,0.49050000000000005
113730,acc,0.52
636888,acc,0.6367499999999999
363936,acc,0.60125
773364,acc,0.600375
796110,acc,0.6595
1000824,acc,0.646875
955332,acc,0.6495
887094,acc,0.668875
978078,acc,0.6503749999999999
841602,acc,0.653625
909840,acc,0.657125
750618,acc,0.65425
682380,acc,0.6636249999999999
477666,acc,0.6425000000000001
227460,acc,0.548
295698,acc,0.5445
727872,acc,0.6563749999999999
409428,acc,0.58725
272952,acc,0.564125
10,acc,0.44075
20,acc,0.436875
0,acc,0.442
100,acc,0.449875
800,acc,0.48175
200,acc,0.46925
40,acc,0.42674999999999996
400,acc,0.46199999999999997
