checkpoint (in update steps),metric_name,metric
224370,acc,0.582875
381429,acc,0.536375
179496,acc,0.5547500000000001
628236,acc,0.5867500000000001
471177,acc,0.56025
22437,acc,0.542
583362,acc,0.591125
134622,acc,0.55
426303,acc,0.569625
605799,acc,0.57825
403866,acc,0.5251250000000001
157059,acc,0.5355000000000001
448740,acc,0.581125
0,acc,0.442
201933,acc,0.582625
358992,acc,0.57725
650673,acc,0.604625
246807,acc,0.576125
740421,acc,0.583375
762858,acc,0.580625
785295,acc,0.595
717984,acc,0.59825
314118,acc,0.5385
291681,acc,0.58675
560925,acc,0.5698749999999999
112185,acc,0.53175
493614,acc,0.58375
44874,acc,0.521625
897480,acc,0.606125
516051,acc,0.5840000000000001
67311,acc,0.5125
538488,acc,0.583
89748,acc,0.5078750000000001
269244,acc,0.5406249999999999
336555,acc,0.5215000000000001
919917,acc,0.60625
830169,acc,0.592625
673110,acc,0.5972500000000001
875043,acc,0.61425
852606,acc,0.5951249999999999
695547,acc,0.6062500000000001
807732,acc,0.59975
10,acc,0.440875
20,acc,0.43674999999999997
4000,acc,0.49524999999999997
5000,acc,0.544
100,acc,0.44862499999999994
1000,acc,0.5022500000000001
14000,acc,0.5055
20000,acc,0.524375
10000,acc,0.5457500000000001
11000,acc,0.52625
15000,acc,0.5075000000000001
800,acc,0.480375
21000,acc,0.50275
200,acc,0.468375
12000,acc,0.53975
40,acc,0.42725
16000,acc,0.49712500000000004
8000,acc,0.576375
22000,acc,0.516375
17000,acc,0.506875
9000,acc,0.49150000000000005
13000,acc,0.504
6000,acc,0.5167499999999999
18000,acc,0.525875
2000,acc,0.57725
400,acc,0.46362499999999995
3000,acc,0.572125
7000,acc,0.559125
19000,acc,0.48662500000000003
