checkpoint (in update steps),metric_name,metric
906655,acc,0.8069999999999998
927740,acc,0.8062857142857143
210850,acc,0.816
358445,acc,0.8375714285714285
168680,acc,0.821857142857143
590380,acc,0.7984285714285714
442785,acc,0.7948571428571428
21085,acc,0.6778571428571428
548210,acc,0.8051428571428572
126510,acc,0.7972857142857144
400615,acc,0.824
948825,acc,0.797
885570,acc,0.8071428571428572
569295,acc,0.8105714285714285
379530,acc,0.8144285714285713
147595,acc,0.8054285714285715
421700,acc,0.812857142857143
0,acc,0.3635714285714286
189765,acc,0.7935714285714285
337360,acc,0.814142857142857
611465,acc,0.7824285714285715
231935,acc,0.8109999999999999
695805,acc,0.785
716890,acc,0.809142857142857
737975,acc,0.7757142857142857
674720,acc,0.7817142857142858
295190,acc,0.797
274105,acc,0.8024285714285714
527125,acc,0.771
105425,acc,0.79
463870,acc,0.7977142857142857
42170,acc,0.7937142857142857
990995,acc,0.802857142857143
843400,acc,0.7959999999999999
484955,acc,0.8021428571428572
63255,acc,0.7724285714285715
506040,acc,0.7902857142857143
84340,acc,0.8151428571428571
253020,acc,0.8212857142857143
316275,acc,0.7832857142857144
864485,acc,0.8048571428571428
969910,acc,0.8016666666666666
1012080,acc,0.8027142857142857
780145,acc,0.7868571428571428
632550,acc,0.7964285714285715
822315,acc,0.8068571428571428
801230,acc,0.7865714285714285
653635,acc,0.805142857142857
759060,acc,0.7848571428571428
10,acc,0.3614285714285715
20,acc,0.3608571428571428
100,acc,0.4922857142857143
800,acc,0.4188571428571429
200,acc,0.5131428571428572
40,acc,0.36900000000000005
400,acc,0.44828571428571434
