checkpoint (in update steps),metric_name,metric
66694,acc,0.8292857142857143
133388,acc,0.8308571428571428
200082,acc,0.846142857142857
266776,acc,0.8257142857142857
12800,acc,0.5888571428571429
10,acc,0.607
100000,acc,0.8082857142857144
380000,acc,0.8062857142857143
120000,acc,0.8287142857142857
20,acc,0.6102857142857143
0,acc,0.6057142857142858
160000,acc,0.821
100,acc,0.6604285714285714
140000,acc,0.8410000000000001
280000,acc,0.8201428571428572
660000,acc,0.7871428571428571
720000,acc,0.7767142857142858
20000,acc,0.7172857142857142
980000,acc,0.7962857142857143
640000,acc,0.8147142857142856
700000,acc,0.8087142857142856
3200,acc,0.41557142857142854
740000,acc,0.7822857142857143
600000,acc,0.7911428571428571
480000,acc,0.812
40000,acc,0.8518571428571429
880000,acc,0.8027142857142857
60000,acc,0.8475714285714285
800,acc,0.435
760000,acc,0.798
620000,acc,0.7934285714285715
200,acc,0.5549999999999999
840000,acc,0.8035714285714286
900000,acc,0.7888571428571429
520000,acc,0.7922857142857144
460000,acc,0.8062857142857143
40,acc,0.6218571428571428
780000,acc,0.7817142857142857
500000,acc,0.8118571428571428
440000,acc,0.7942857142857144
80000,acc,0.8308571428571428
860000,acc,0.7945714285714285
920000,acc,0.7925714285714286
960000,acc,0.7974285714285715
820000,acc,0.7837142857142858
680000,acc,0.8068571428571429
400000,acc,0.8058571428571428
540000,acc,0.7884285714285715
1600,acc,0.4427142857142857
420000,acc,0.8004285714285714
560000,acc,0.7951428571428573
940000,acc,0.7929999999999999
800000,acc,0.7887142857142856
180000,acc,0.8144285714285715
240000,acc,0.7832857142857143
300000,acc,0.8064285714285714
6400,acc,0.4287142857142857
1000000,acc,0.7958571428571427
260000,acc,0.8177142857142857
320000,acc,0.8149999999999998
360000,acc,0.8132857142857145
220000,acc,0.8444285714285714
400,acc,0.5434285714285715
340000,acc,0.7987142857142856
200000,acc,0.8525714285714285
