checkpoint (in update steps),metric_name,metric
12800,acc,0.5794999999999999
10,acc,0.361
100000,acc,0.5605
380000,acc,0.68
120000,acc,0.61725
20,acc,0.3625
0,acc,0.36
160000,acc,0.6577500000000001
100,acc,0.5925
140000,acc,0.6407499999999999
280000,acc,0.66825
660000,acc,0.6955
720000,acc,0.70775
20000,acc,0.51725
980000,acc,0.7112499999999999
640000,acc,0.7145
700000,acc,0.713
580000,acc,0.6972499999999999
3200,acc,0.38625
740000,acc,0.6975
600000,acc,0.7234999999999999
480000,acc,0.70275
40000,acc,0.5427500000000001
880000,acc,0.7032499999999999
60000,acc,0.5914999999999999
800,acc,0.54125
760000,acc,0.706
620000,acc,0.7092499999999999
200,acc,0.75
840000,acc,0.70975
900000,acc,0.717
520000,acc,0.672
460000,acc,0.67675
40,acc,0.3865
780000,acc,0.7095
500000,acc,0.67975
440000,acc,0.708
80000,acc,0.618
860000,acc,0.7144999999999999
920000,acc,0.70375
960000,acc,0.7115
820000,acc,0.692
680000,acc,0.68125
400000,acc,0.68725
540000,acc,0.674
1600,acc,0.383
420000,acc,0.68775
560000,acc,0.701
940000,acc,0.7085
800000,acc,0.6859999999999999
180000,acc,0.674
240000,acc,0.65025
300000,acc,0.66775
6400,acc,0.481
1000000,acc,0.71425
260000,acc,0.68125
320000,acc,0.6839999999999999
360000,acc,0.70925
220000,acc,0.68275
400,acc,0.677
340000,acc,0.6637500000000001
200000,acc,0.6715
