checkpoint (in update steps),metric_name,metric
906655,acc,0.69375
927740,acc,0.7095
210850,acc,0.68975
358445,acc,0.68875
168680,acc,0.65725
590380,acc,0.7170000000000001
442785,acc,0.689
21085,acc,0.55075
548210,acc,0.7040000000000001
126510,acc,0.66275
400615,acc,0.713
948825,acc,0.702
885570,acc,0.7035
569295,acc,0.70275
379530,acc,0.6977500000000001
147595,acc,0.711
421700,acc,0.7052499999999999
0,acc,0.36
189765,acc,0.64925
337360,acc,0.67475
611465,acc,0.69325
231935,acc,0.711
695805,acc,0.6897500000000001
716890,acc,0.7112499999999999
737975,acc,0.698
674720,acc,0.678
295190,acc,0.6802499999999999
274105,acc,0.6975
527125,acc,0.71075
105425,acc,0.6357499999999999
463870,acc,0.682
42170,acc,0.55425
990995,acc,0.7052499999999999
843400,acc,0.71275
484955,acc,0.7064999999999999
63255,acc,0.60525
506040,acc,0.68675
84340,acc,0.633
253020,acc,0.7035
316275,acc,0.68825
864485,acc,0.7067500000000001
969910,acc,0.8783333333333333
1012080,acc,0.70525
780145,acc,0.68825
632550,acc,0.69375
822315,acc,0.705
801230,acc,0.6997500000000001
653635,acc,0.7070000000000001
759060,acc,0.6925
10,acc,0.36
20,acc,0.36075
100,acc,0.579
800,acc,0.5345
200,acc,0.70425
40,acc,0.37775000000000003
400,acc,0.7665000000000001
