checkpoint (in update steps),metric_name,metric
66694,acc,0.663
133388,acc,0.67525
200082,acc,0.663
266776,acc,0.6567500000000001
12800,acc,0.6537499999999999
10,acc,0.7064999999999999
100000,acc,0.638
380000,acc,0.6732499999999999
120000,acc,0.65475
20,acc,0.70775
0,acc,0.7055
160000,acc,0.6632500000000001
100,acc,0.67425
140000,acc,0.6809999999999999
280000,acc,0.6970000000000001
660000,acc,0.6565
720000,acc,0.6799999999999999
20000,acc,0.5475000000000001
980000,acc,0.693
640000,acc,0.66875
700000,acc,0.64825
3200,acc,0.39875
740000,acc,0.687
600000,acc,0.6759999999999999
480000,acc,0.6775
40000,acc,0.5805
880000,acc,0.67375
60000,acc,0.61575
800,acc,0.42874999999999996
760000,acc,0.69375
620000,acc,0.691
200,acc,0.508
840000,acc,0.6992499999999999
900000,acc,0.6735
520000,acc,0.6809999999999999
460000,acc,0.6917500000000001
40,acc,0.6952499999999999
780000,acc,0.69275
500000,acc,0.6852499999999999
440000,acc,0.7205
80000,acc,0.63575
860000,acc,0.6792499999999999
920000,acc,0.67775
960000,acc,0.69
820000,acc,0.6965
680000,acc,0.67225
400000,acc,0.6625
540000,acc,0.6765
1600,acc,0.38875
420000,acc,0.6745
560000,acc,0.687
940000,acc,0.6872499999999999
800000,acc,0.68375
180000,acc,0.64125
240000,acc,0.6545
300000,acc,0.6739999999999999
6400,acc,0.47425
1000000,acc,0.68925
260000,acc,0.60175
320000,acc,0.68025
360000,acc,0.63825
220000,acc,0.657
400,acc,0.55175
340000,acc,0.6957500000000001
200000,acc,0.67375
