checkpoint (in update steps),metric_name,metric
996396,acc,0.68075
1019568,acc,0.683
231720,acc,0.75225
393924,acc,0.6739999999999999
185376,acc,0.71475
648816,acc,0.71975
486612,acc,0.70475
23172,acc,0.64825
602472,acc,0.694
139032,acc,0.7465
440268,acc,0.724
973224,acc,0.67875
625644,acc,0.6895
417096,acc,0.71125
162204,acc,0.741
463440,acc,0.70175
208548,acc,0.7025
370752,acc,0.7389999999999999
671988,acc,0.7065
254892,acc,0.74075
764676,acc,0.68425
787848,acc,0.6805000000000001
811020,acc,0.6789999999999999
741504,acc,0.679
324408,acc,0.7105
301236,acc,0.7032499999999999
579300,acc,0.6875
115860,acc,0.70775
509784,acc,0.70975
46344,acc,0.66325
926880,acc,0.6739999999999999
532956,acc,0.69825
69516,acc,0.67675
556128,acc,0.66675
92688,acc,0.66025
278064,acc,0.711
347580,acc,0.72275
950052,acc,0.677
857364,acc,0.66475
695160,acc,0.70275
903708,acc,0.6992499999999999
880536,acc,0.67975
718332,acc,0.6972499999999999
834192,acc,0.6725
10,acc,0.36124999999999996
20,acc,0.36724999999999997
0,acc,0.36
100,acc,0.5239999999999999
800,acc,0.52325
200,acc,0.5525
40,acc,0.399
400,acc,0.612
