checkpoint (in update steps),metric_name,metric
545904,acc,0.645
568650,acc,0.6705000000000001
614142,acc,0.6582500000000001
159222,acc,0.5655
45492,acc,0.55725
341190,acc,0.6985
318444,acc,0.67525
659634,acc,0.6657500000000001
204714,acc,0.67225
136476,acc,0.56875
68238,acc,0.5882499999999999
818856,acc,0.6605000000000001
864348,acc,0.6635
932586,acc,0.66275
250206,acc,0.60325
386682,acc,0.6435
523158,acc,0.70275
454920,acc,0.6965
705126,acc,0.6599999999999999
500412,acc,0.6585
432174,acc,0.6639999999999999
591396,acc,0.6472500000000001
22746,acc,0.623
181968,acc,0.599
90984,acc,0.607
113730,acc,0.63525
636888,acc,0.6527499999999999
363936,acc,0.66925
773364,acc,0.53425
796110,acc,0.62925
1000824,acc,0.6679999999999999
955332,acc,0.6617500000000001
887094,acc,0.64175
978078,acc,0.6595
841602,acc,0.651
909840,acc,0.66425
750618,acc,0.65775
682380,acc,0.677
477666,acc,0.6835
227460,acc,0.6457499999999999
295698,acc,0.6769999999999999
727872,acc,0.6692499999999999
409428,acc,0.6665
272952,acc,0.6519999999999999
10,acc,0.35975
20,acc,0.361
0,acc,0.36
100,acc,0.5642499999999999
800,acc,0.42200000000000004
200,acc,0.6405000000000001
40,acc,0.37825000000000003
400,acc,0.6014999999999999
