checkpoint (in update steps),metric_name,metric
224370,acc,0.6445
381429,acc,0.66825
179496,acc,0.67925
628236,acc,0.6697500000000001
471177,acc,0.6869999999999999
22437,acc,0.58975
583362,acc,0.6759999999999999
134622,acc,0.629
426303,acc,0.71675
605799,acc,0.68775
403866,acc,0.732
157059,acc,0.62175
448740,acc,0.7132499999999999
0,acc,0.36
201933,acc,0.63875
358992,acc,0.6655
650673,acc,0.6930000000000001
246807,acc,0.64975
740421,acc,0.69825
762858,acc,0.71075
785295,acc,0.68075
717984,acc,0.7202500000000001
314118,acc,0.68875
291681,acc,0.6717500000000001
560925,acc,0.67775
112185,acc,0.5895
493614,acc,0.69075
44874,acc,0.592
897480,acc,0.69975
516051,acc,0.67175
67311,acc,0.58975
538488,acc,0.6755
89748,acc,0.615
269244,acc,0.6457499999999999
336555,acc,0.692
919917,acc,0.6932499999999999
830169,acc,0.6739999999999999
673110,acc,0.662
875043,acc,0.69825
852606,acc,0.6872499999999999
695547,acc,0.68925
807732,acc,0.6872499999999999
10,acc,0.3595
20,acc,0.36124999999999996
4000,acc,0.40875000000000006
5000,acc,0.43025
100,acc,0.5675
1000,acc,0.32725
14000,acc,0.609
20000,acc,0.54875
10000,acc,0.5660000000000001
11000,acc,0.56575
15000,acc,0.57475
800,acc,0.38875
21000,acc,0.52725
200,acc,0.6327499999999999
12000,acc,0.5467500000000001
40,acc,0.3785
16000,acc,0.56875
8000,acc,0.6499999999999999
22000,acc,0.5429999999999999
17000,acc,0.5727500000000001
9000,acc,0.5627500000000001
13000,acc,0.55475
6000,acc,0.44825000000000004
18000,acc,0.56575
2000,acc,0.3305
400,acc,0.59975
3000,acc,0.394
7000,acc,0.48075
19000,acc,0.548
