checkpoint (in update steps),metric_name,metric
906655,acc,0.9131666666666666
927740,acc,0.9171666666666667
210850,acc,0.9063333333333334
358445,acc,0.903
168680,acc,0.9028333333333333
590380,acc,0.91
442785,acc,0.9081666666666667
21085,acc,0.8178333333333333
548210,acc,0.9103333333333333
126510,acc,0.8931666666666666
400615,acc,0.9086666666666666
948825,acc,0.9151666666666666
885570,acc,0.9151666666666666
569295,acc,0.9133333333333334
379530,acc,0.9114999999999999
147595,acc,0.8973333333333332
421700,acc,0.915
0,acc,0.507
189765,acc,0.9036666666666666
337360,acc,0.9126666666666666
611465,acc,0.9158333333333332
231935,acc,0.9086666666666666
695805,acc,0.9131666666666667
716890,acc,0.914
737975,acc,0.9129999999999999
674720,acc,0.9144999999999999
295190,acc,0.9078333333333334
274105,acc,0.9093333333333332
527125,acc,0.9091666666666667
105425,acc,0.9058333333333334
463870,acc,0.9135
42170,acc,0.8771666666666667
990995,acc,0.9128333333333334
843400,acc,0.9158333333333334
484955,acc,0.91
63255,acc,0.8918333333333334
506040,acc,0.9116666666666666
84340,acc,0.8921666666666667
253020,acc,0.9089999999999999
316275,acc,0.9039999999999999
864485,acc,0.9153333333333333
969910,acc,0.9042
1012080,acc,0.9135
780145,acc,0.9089999999999999
632550,acc,0.9125
822315,acc,0.916
801230,acc,0.9119999999999999
653635,acc,0.9095
759060,acc,0.9153333333333333
10,acc,0.507
20,acc,0.5066666666666667
100,acc,0.5123333333333333
800,acc,0.5158333333333333
200,acc,0.525
40,acc,0.5066666666666666
400,acc,0.5175000000000001
