checkpoint (in update steps),metric_name,metric
545904,acc,0.8798333333333334
568650,acc,0.8770000000000001
614142,acc,0.8885
159222,acc,0.8716666666666666
45492,acc,0.8043333333333332
341190,acc,0.8819999999999998
318444,acc,0.9043333333333333
659634,acc,0.8873333333333333
204714,acc,0.8845000000000001
136476,acc,0.8836666666666667
68238,acc,0.8591666666666667
818856,acc,0.8843333333333333
864348,acc,0.8851666666666667
932586,acc,0.8828333333333335
250206,acc,0.8851666666666667
386682,acc,0.8811666666666667
523158,acc,0.8874999999999998
454920,acc,0.8933333333333334
705126,acc,0.8933333333333335
500412,acc,0.8866666666666667
432174,acc,0.891
591396,acc,0.888
22746,acc,0.7285
181968,acc,0.8726666666666668
90984,acc,0.8664999999999999
113730,acc,0.8696666666666667
636888,acc,0.891
363936,acc,0.8751666666666669
773364,acc,0.8433333333333333
796110,acc,0.8815000000000001
1000824,acc,0.8828333333333332
955332,acc,0.8813333333333334
887094,acc,0.8803333333333333
978078,acc,0.8821666666666667
841602,acc,0.8786666666666667
909840,acc,0.8838333333333334
750618,acc,0.8758333333333334
682380,acc,0.8821666666666667
477666,acc,0.8954999999999999
227460,acc,0.8826666666666666
295698,acc,0.8938333333333333
727872,acc,0.8853333333333334
409428,acc,0.8885
272952,acc,0.8961666666666668
10,acc,0.5065000000000001
20,acc,0.5063333333333334
0,acc,0.507
100,acc,0.5115000000000001
800,acc,0.5166666666666666
200,acc,0.5246666666666666
40,acc,0.5059999999999999
400,acc,0.514
