checkpoint (in update steps),metric_name,metric
0,acc,0.4617117117117117
10,acc,0.4594594594594595
20,acc,0.4617117117117117
40,acc,0.44594594594594594
100,acc,0.4752252252252252
200,acc,0.47297297297297297
400,acc,0.47297297297297297
800,acc,0.4752252252252252
1600,acc,0.46846846846846846
3200,acc,0.4436936936936937
6400,acc,0.47297297297297297
12800,acc,0.5
20000,acc,0.49099099099099097
40000,acc,0.4752252252252252
60000,acc,0.4617117117117117
80000,acc,0.4752252252252252
100000,acc,0.4617117117117117
120000,acc,0.47297297297297297
140000,acc,0.4774774774774775
160000,acc,0.46396396396396394
180000,acc,0.47297297297297297
200000,acc,0.4752252252252252
220000,acc,0.4752252252252252
240000,acc,0.46846846846846846
260000,acc,0.49324324324324326
280000,acc,0.481981981981982
300000,acc,0.47297297297297297
320000,acc,0.4774774774774775
340000,acc,0.4774774774774775
360000,acc,0.46621621621621623
380000,acc,0.4797297297297297
400000,acc,0.5045045045045045
420000,acc,0.48873873873873874
440000,acc,0.509009009009009
460000,acc,0.4797297297297297
480000,acc,0.5112612612612613
500000,acc,0.5
520000,acc,0.5202702702702703
540000,acc,0.5067567567567568
560000,acc,0.48423423423423423
580000,acc,0.4864864864864865
600000,acc,0.5022522522522522
620000,acc,0.5135135135135135
640000,acc,0.48423423423423423
660000,acc,0.5022522522522522
680000,acc,0.509009009009009
700000,acc,0.5022522522522522
720000,acc,0.5157657657657657
740000,acc,0.5
760000,acc,0.5337837837837838
780000,acc,0.49324324324324326
800000,acc,0.536036036036036
820000,acc,0.5112612612612613
840000,acc,0.4954954954954955
860000,acc,0.5
880000,acc,0.509009009009009
900000,acc,0.509009009009009
920000,acc,0.5180180180180181
940000,acc,0.5157657657657657
960000,acc,0.5135135135135135
980000,acc,0.5180180180180181
1000000,acc,0.5202702702702703
