checkpoint (in update steps),metric_name,metric
0,acc,0.4617117117117117
10,acc,0.4594594594594595
20,acc,0.46621621621621623
40,acc,0.45045045045045046
100,acc,0.48423423423423423
200,acc,0.481981981981982
400,acc,0.4864864864864865
800,acc,0.4752252252252252
22746,acc,0.46846846846846846
45492,acc,0.49324324324324326
68238,acc,0.49099099099099097
90984,acc,0.481981981981982
113730,acc,0.48423423423423423
136476,acc,0.44594594594594594
159222,acc,0.4752252252252252
181968,acc,0.4594594594594595
204714,acc,0.45495495495495497
227460,acc,0.47072072072072074
250206,acc,0.45045045045045046
272952,acc,0.46621621621621623
295698,acc,0.47297297297297297
318444,acc,0.4797297297297297
341190,acc,0.46846846846846846
363936,acc,0.44819819819819817
386682,acc,0.47072072072072074
409428,acc,0.48873873873873874
432174,acc,0.46846846846846846
454920,acc,0.481981981981982
477666,acc,0.47297297297297297
500412,acc,0.48423423423423423
523158,acc,0.47072072072072074
545904,acc,0.481981981981982
568650,acc,0.48423423423423423
591396,acc,0.5
614142,acc,0.49324324324324326
636888,acc,0.48423423423423423
659634,acc,0.48423423423423423
682380,acc,0.5
705126,acc,0.47072072072072074
727872,acc,0.4797297297297297
750618,acc,0.4864864864864865
773364,acc,0.49774774774774777
796110,acc,0.49774774774774777
818856,acc,0.47072072072072074
841602,acc,0.49774774774774777
864348,acc,0.4954954954954955
887094,acc,0.4954954954954955
909840,acc,0.49774774774774777
932586,acc,0.49099099099099097
955332,acc,0.4797297297297297
978078,acc,0.48873873873873874
1000824,acc,0.4797297297297297
