checkpoint (in update steps),metric_name,metric
0,acc,0.48873873873873874
10,acc,0.4864864864864865
20,acc,0.49099099099099097
40,acc,0.49211711711711714
100,acc,0.4954954954954955
200,acc,0.4954954954954955
400,acc,0.5011261261261262
800,acc,0.4988738738738739
1000,acc,0.5
2000,acc,0.5022522522522522
3000,acc,0.49436936936936937
4000,acc,0.5045045045045045
5000,acc,0.4988738738738739
6000,acc,0.5
7000,acc,0.4988738738738739
8000,acc,0.4966216216216216
9000,acc,0.4954954954954955
10000,acc,0.49436936936936937
11000,acc,0.49099099099099097
12000,acc,0.4988738738738739
13000,acc,0.4988738738738739
14000,acc,0.5033783783783784
15000,acc,0.4966216216216216
16000,acc,0.5033783783783784
17000,acc,0.5045045045045045
18000,acc,0.5067567567567568
19000,acc,0.5101351351351351
20000,acc,0.5011261261261262
21000,acc,0.49436936936936937
22000,acc,0.5
22437,acc,0.49774774774774777
44874,acc,0.5011261261261262
67311,acc,0.5
89748,acc,0.49774774774774777
112185,acc,0.49774774774774777
134622,acc,0.49211711711711714
157059,acc,0.5123873873873874
179496,acc,0.5101351351351351
201933,acc,0.5022522522522522
224370,acc,0.5
246807,acc,0.4954954954954955
269244,acc,0.5011261261261262
291681,acc,0.5033783783783784
314118,acc,0.5045045045045045
336555,acc,0.5067567567567568
358992,acc,0.5078828828828829
381429,acc,0.5045045045045045
403866,acc,0.49774774774774777
426303,acc,0.5213963963963963
448740,acc,0.5078828828828829
471177,acc,0.5033783783783784
493614,acc,0.4988738738738739
516051,acc,0.5067567567567568
538488,acc,0.5033783783783784
560925,acc,0.5168918918918919
583362,acc,0.5033783783783784
605799,acc,0.5146396396396397
628236,acc,0.5123873873873874
650673,acc,0.5225225225225225
673110,acc,0.4988738738738739
695547,acc,0.5078828828828829
717984,acc,0.5112612612612613
740421,acc,0.5045045045045045
762858,acc,0.5067567567567568
785295,acc,0.5033783783783784
807732,acc,0.5157657657657657
830169,acc,0.5123873873873874
852606,acc,0.509009009009009
875043,acc,0.5191441441441441
897480,acc,0.509009009009009
919917,acc,0.5056306306306306
