checkpoint (in update steps),metric_name,metric
0,acc,0.6939890710382514
10,acc,0.6885245901639344
20,acc,0.6830601092896175
40,acc,0.6721311475409836
100,acc,0.40437158469945356
200,acc,0.3551912568306011
400,acc,0.37158469945355194
800,acc,0.40437158469945356
1600,acc,0.3879781420765027
3200,acc,0.3770491803278688
6400,acc,0.3879781420765027
12800,acc,0.6120218579234973
20000,acc,0.639344262295082
40000,acc,0.726775956284153
60000,acc,0.7486338797814208
80000,acc,0.7704918032786885
100000,acc,0.7814207650273224
120000,acc,0.819672131147541
140000,acc,0.7814207650273224
160000,acc,0.7923497267759563
180000,acc,0.8306010928961749
200000,acc,0.8087431693989071
220000,acc,0.825136612021858
240000,acc,0.8469945355191257
260000,acc,0.8306010928961749
280000,acc,0.825136612021858
300000,acc,0.8524590163934426
320000,acc,0.8306010928961749
340000,acc,0.8360655737704918
360000,acc,0.8633879781420765
380000,acc,0.8633879781420765
400000,acc,0.8524590163934426
420000,acc,0.8579234972677595
440000,acc,0.8524590163934426
460000,acc,0.8852459016393442
480000,acc,0.8797814207650273
500000,acc,0.8797814207650273
520000,acc,0.8852459016393442
540000,acc,0.8797814207650273
560000,acc,0.9016393442622951
580000,acc,0.8961748633879781
600000,acc,0.907103825136612
620000,acc,0.9180327868852459
640000,acc,0.8961748633879781
660000,acc,0.8743169398907104
680000,acc,0.8907103825136612
700000,acc,0.9016393442622951
720000,acc,0.8907103825136612
740000,acc,0.9234972677595629
760000,acc,0.907103825136612
780000,acc,0.9234972677595629
800000,acc,0.907103825136612
820000,acc,0.9016393442622951
840000,acc,0.912568306010929
860000,acc,0.907103825136612
880000,acc,0.9234972677595629
900000,acc,0.9180327868852459
920000,acc,0.9180327868852459
940000,acc,0.9016393442622951
960000,acc,0.912568306010929
980000,acc,0.912568306010929
1000000,acc,0.907103825136612
