checkpoint (in update steps),metric_name,metric
0,acc,0.6939890710382514
10,acc,0.6885245901639344
20,acc,0.6830601092896175
40,acc,0.6502732240437158
100,acc,0.37158469945355194
200,acc,0.3551912568306011
400,acc,0.3551912568306011
800,acc,0.3989071038251366
22746,acc,0.7103825136612022
45492,acc,0.7377049180327869
68238,acc,0.7868852459016393
90984,acc,0.7923497267759563
113730,acc,0.7868852459016393
136476,acc,0.8360655737704918
159222,acc,0.7868852459016393
181968,acc,0.8469945355191257
204714,acc,0.8032786885245902
227460,acc,0.8415300546448088
250206,acc,0.825136612021858
272952,acc,0.8415300546448088
295698,acc,0.8306010928961749
318444,acc,0.8852459016393442
341190,acc,0.8633879781420765
363936,acc,0.8797814207650273
386682,acc,0.8797814207650273
409428,acc,0.8633879781420765
432174,acc,0.8633879781420765
454920,acc,0.8524590163934426
477666,acc,0.8852459016393442
500412,acc,0.8743169398907104
523158,acc,0.8688524590163934
545904,acc,0.8797814207650273
568650,acc,0.8743169398907104
591396,acc,0.8797814207650273
614142,acc,0.8797814207650273
636888,acc,0.8797814207650273
659634,acc,0.8743169398907104
682380,acc,0.8961748633879781
705126,acc,0.8852459016393442
727872,acc,0.8469945355191257
750618,acc,0.8852459016393442
773364,acc,0.8797814207650273
796110,acc,0.8961748633879781
818856,acc,0.8743169398907104
841602,acc,0.9016393442622951
864348,acc,0.8961748633879781
887094,acc,0.8961748633879781
909840,acc,0.8852459016393442
932586,acc,0.8907103825136612
955332,acc,0.8961748633879781
978078,acc,0.9016393442622951
1000824,acc,0.9016393442622951
