checkpoint (in update steps),metric_name,metric
0,acc,0.6939890710382514
10,acc,0.6885245901639344
20,acc,0.6830601092896175
40,acc,0.6502732240437158
100,acc,0.37158469945355194
200,acc,0.3551912568306011
400,acc,0.3551912568306011
800,acc,0.39344262295081966
1000,acc,0.3879781420765027
2000,acc,0.3879781420765027
3000,acc,0.3770491803278688
4000,acc,0.3770491803278688
5000,acc,0.3825136612021858
6000,acc,0.40437158469945356
7000,acc,0.4207650273224044
8000,acc,0.44808743169398907
9000,acc,0.5355191256830601
10000,acc,0.5081967213114754
11000,acc,0.5300546448087432
12000,acc,0.5683060109289617
13000,acc,0.6284153005464481
14000,acc,0.6502732240437158
15000,acc,0.6557377049180327
16000,acc,0.6666666666666666
17000,acc,0.6502732240437158
18000,acc,0.6065573770491803
19000,acc,0.7213114754098361
20000,acc,0.6830601092896175
21000,acc,0.6939890710382514
22000,acc,0.7213114754098361
22437,acc,0.7049180327868853
44874,acc,0.7103825136612022
67311,acc,0.73224043715847
89748,acc,0.7377049180327869
112185,acc,0.7923497267759563
134622,acc,0.8306010928961749
157059,acc,0.8579234972677595
179496,acc,0.819672131147541
201933,acc,0.8415300546448088
224370,acc,0.8633879781420765
246807,acc,0.8579234972677595
269244,acc,0.8524590163934426
291681,acc,0.8524590163934426
314118,acc,0.8469945355191257
336555,acc,0.8852459016393442
358992,acc,0.8469945355191257
381429,acc,0.8961748633879781
403866,acc,0.8797814207650273
426303,acc,0.8743169398907104
448740,acc,0.8524590163934426
471177,acc,0.9016393442622951
493614,acc,0.8797814207650273
516051,acc,0.8907103825136612
538488,acc,0.8907103825136612
560925,acc,0.8852459016393442
583362,acc,0.9016393442622951
605799,acc,0.8852459016393442
628236,acc,0.8579234972677595
650673,acc,0.9016393442622951
673110,acc,0.8797814207650273
695547,acc,0.8852459016393442
717984,acc,0.9016393442622951
740421,acc,0.8852459016393442
762858,acc,0.8907103825136612
785295,acc,0.8961748633879781
807732,acc,0.8688524590163934
830169,acc,0.8852459016393442
852606,acc,0.9016393442622951
875043,acc,0.8961748633879781
897480,acc,0.8797814207650273
919917,acc,0.8852459016393442
