checkpoint (in update steps),metric_name,metric
0,acc,0.259
10,acc,0.258
20,acc,0.252
40,acc,0.256
100,acc,0.254
200,acc,0.253
400,acc,0.231
800,acc,0.232
1600,acc,0.215
3200,acc,0.225
6400,acc,0.232
12800,acc,0.301
20000,acc,0.322
40000,acc,0.339
60000,acc,0.338
80000,acc,0.331
100000,acc,0.34
120000,acc,0.355
140000,acc,0.341
160000,acc,0.348
180000,acc,0.354
200000,acc,0.368
220000,acc,0.362
240000,acc,0.36
260000,acc,0.379
280000,acc,0.35
300000,acc,0.371
320000,acc,0.379
340000,acc,0.372
360000,acc,0.363
380000,acc,0.384
400000,acc,0.375
420000,acc,0.382
440000,acc,0.38
460000,acc,0.378
480000,acc,0.378
500000,acc,0.387
520000,acc,0.374
540000,acc,0.371
560000,acc,0.372
580000,acc,0.397
600000,acc,0.377
620000,acc,0.37
640000,acc,0.377
660000,acc,0.38
680000,acc,0.372
700000,acc,0.384
720000,acc,0.38
740000,acc,0.382
760000,acc,0.385
780000,acc,0.373
800000,acc,0.39
820000,acc,0.388
840000,acc,0.39
860000,acc,0.395
880000,acc,0.393
900000,acc,0.386
920000,acc,0.391
940000,acc,0.396
960000,acc,0.397
980000,acc,0.389
1000000,acc,0.39
