checkpoint (in update steps),metric_name,metric
0,acc,0.259
10,acc,0.257
20,acc,0.253
40,acc,0.257
100,acc,0.251
200,acc,0.255
400,acc,0.233
800,acc,0.223
21085,acc,0.326
42170,acc,0.324
63255,acc,0.327
84340,acc,0.324
105425,acc,0.336
126510,acc,0.344
147595,acc,0.344
168680,acc,0.34
189765,acc,0.344
210850,acc,0.35
231935,acc,0.358
253020,acc,0.34
274105,acc,0.354
295190,acc,0.358
316275,acc,0.354
337360,acc,0.354
358445,acc,0.365
379530,acc,0.361
400615,acc,0.373
421700,acc,0.358
442785,acc,0.363
463870,acc,0.366
484955,acc,0.375
506040,acc,0.371
527125,acc,0.366
548210,acc,0.363
569295,acc,0.376
590380,acc,0.355
611465,acc,0.371
632550,acc,0.368
653635,acc,0.367
674720,acc,0.376
695805,acc,0.379
716890,acc,0.384
737975,acc,0.369
759060,acc,0.375
780145,acc,0.376
801230,acc,0.39
822315,acc,0.39
843400,acc,0.376
864485,acc,0.376
885570,acc,0.387
906655,acc,0.385
927740,acc,0.389
948825,acc,0.391
969910,acc,0.386
990995,acc,0.382
1012080,acc,0.382
